,success,power,design,volkswagen,uncool,innovative,rachel,weapon,cool,technical,outside,arts,arts,family,evaluating,show,community,winner,friendship,performance,collar
outside,0.1140724543787649,0.7874252355921043,0.6666959708926022,-0.16503046339501848,0.8108120021131987,0.5226229546461754,0.5226229546461754,0.6117170039344448,0.5620535203661554,0.7207777226828691,1.0,-0.3046027172382069,-0.3046027172382069,0.034476706740427715,0.5851620515073307,-0.31913469716608683,0.25593836097153283,-0.41763423887850465,-0.2118804346580272,-0.5416812162056575,-0.12055619721260975
arts,-0.08101075880022543,-0.3480759554782231,0.1670033587028802,-0.3084580965614692,-0.23051485764449303,-0.19165822276657143,-0.19165822276657143,-0.24084330835961998,0.17656681288001355,-0.26333169517358845,-0.3046027172382069,1.0,1.0,0.6226060681846266,-0.018712692856710463,0.8737650760121196,0.4367815932270324,0.5940660344870785,0.6339134742709751,0.7087537864403702,0.5188317485523667
arts,-0.08101075880022543,-0.3480759554782231,0.1670033587028802,-0.3084580965614692,-0.23051485764449303,-0.19165822276657143,-0.19165822276657143,-0.24084330835961998,0.17656681288001355,-0.26333169517358845,-0.3046027172382069,1.0,1.0,0.6226060681846266,-0.018712692856710463,0.8737650760121196,0.4367815932270324,0.5940660344870785,0.6339134742709751,0.7087537864403702,0.5188317485523667
family,-0.08122998448224039,0.034028055283054255,0.16992396735070117,-0.43166687195221604,0.2092228717989201,-0.29152508047964837,-0.29152508047964837,0.04944658516997373,0.4836176052875433,-0.2303774567115142,0.034476706740427715,0.6226060681846266,0.6226060681846266,1.0,0.19362684789217025,0.47291453555861657,0.5974247803116997,0.5123501291749667,0.801523987182061,0.2880930755544687,0.6449833112879076
evaluating,-0.08138907298044319,0.3075715536600208,0.5397369518137054,-0.4242846611567762,0.5084773801336121,0.49814630663330706,0.49814630663330706,0.15131234912215288,0.3875623034618132,0.5769099340770435,0.5851620515073307,-0.018712692856710463,-0.018712692856710463,0.19362684789217025,1.0,-0.013247972683684559,0.552181182468691,-0.03366354648213464,0.026564844292764327,-0.23577510596988135,0.3389988063570482
show,-0.08537393881964003,-0.3510516170312959,0.17637265248909959,-0.28086430444112487,-0.24658309078171697,-0.11630876146746748,-0.11630876146746748,-0.27818215271172375,0.14966060687840235,-0.18691914817985325,-0.31913469716608683,0.8737650760121196,0.8737650760121196,0.47291453555861657,-0.013247972683684559,1.0,0.39015650448816647,0.6149495846236424,0.5415840185794798,0.882235020868778,0.46030978234370806
community,-0.08547728636698995,0.18528637046445054,0.3255692389344428,-0.4533418395901167,0.16832713755234077,0.22050821166517712,0.22050821166517712,-0.16352174425214858,0.304123750168166,0.21480237873348348,0.25593836097153283,0.4367815932270324,0.4367815932270324,0.5974247803116997,0.552181182468691,0.39015650448816647,1.0,0.31823398757160587,0.35074759604239064,0.1955760949299569,0.645497672091778
winner,-0.10398489271664173,-0.26783641803703484,-0.15245819072498862,-0.05160853680795613,-0.28744119014179026,-0.284779046391907,-0.284779046391907,-0.17834392141094238,-0.039721988220306995,-0.40432231259373974,-0.41763423887850465,0.5940660344870785,0.5940660344870785,0.5123501291749667,-0.03366354648213464,0.6149495846236424,0.31823398757160587,1.0,0.48039396125301237,0.6805516456988994,0.4415227543097294
friendship,-0.1043117356904128,-0.2858862546162395,0.08549107713514092,-0.440646088357805,0.005734333639397186,-0.4021163628853688,-0.4021163628853688,-0.03156851865418836,0.40442509923327835,-0.37039284828613506,-0.2118804346580272,0.6339134742709751,0.6339134742709751,0.801523987182061,0.026564844292764327,0.5415840185794798,0.35074759604239064,0.48039396125301237,1.0,0.436063026096841,0.5593254686626575
performance,-0.10843216207016841,-0.4807095499820935,-0.10680456232928418,-0.11710416207351369,-0.4505072535653281,-0.2713714281435935,-0.2713714281435935,-0.3750746496188617,-0.08163648763529963,-0.3687216913376048,-0.5416812162056575,0.7087537864403702,0.7087537864403702,0.2880930755544687,-0.23577510596988135,0.882235020868778,0.1955760949299569,0.6805516456988994,0.436063026096841,1.0,0.31703479420089037
collar,-0.12838563172505973,-0.29016393178121835,0.12561841860944148,-0.4739613052333094,-0.09205686785353588,-0.0832335120811254,-0.0832335120811254,-0.3467186322423408,0.20323031106653744,-0.06355142822917735,-0.12055619721260975,0.5188317485523667,0.5188317485523667,0.6449833112879076,0.3389988063570482,0.46030978234370806,0.645497672091778,0.4415227543097294,0.5593254686626575,0.31703479420089037,1.0
