,success,traditionell,female,family,male,children,pleasant,friendship,lifestyle,altmodisch,basic,rachel,innovative,show,music,winner,see,science,technical,descriptive,performance
basic,0.03666596727392446,0.472498834182747,0.569541981610388,0.47253722727711256,0.47917393728858326,0.5335854510521673,0.5530304406126777,0.5141789539009483,0.39319736781260367,0.2468580041002808,1.0,-0.28328663323167036,-0.28328663323167036,0.14765806622682853,0.3095437060701288,0.10781129258998122,0.30646347021251225,-0.08388913310210559,-0.23305283440552596,-0.2609146321967218,0.060717514567166765
rachel,-0.03232222800877182,0.002711122153928681,-0.5009199945354846,-0.3798981156060842,-0.4149998570622645,-0.31671225420717725,-0.2704927432889131,-0.4821392907083228,-0.03195518542936487,0.1875673123034467,-0.28328663323167036,1.0,1.0,-0.11916302060921201,-0.10948567357252256,-0.379052141119002,-0.1965906918006112,0.6497077294326598,0.8681880317614321,0.5553971259257242,-0.25997073434319706
innovative,-0.03232222800877182,0.002711122153928681,-0.5009199945354846,-0.3798981156060842,-0.4149998570622645,-0.31671225420717725,-0.2704927432889131,-0.4821392907083228,-0.03195518542936487,0.1875673123034467,-0.28328663323167036,1.0,1.0,-0.11916302060921201,-0.10948567357252256,-0.379052141119002,-0.1965906918006112,0.6497077294326598,0.8681880317614321,0.5553971259257242,-0.25997073434319706
show,-0.03415320218175345,0.277315568018766,0.3538321162749272,0.3379401571914983,0.33155267431372704,0.33198981480777207,0.45474901122606015,0.42625388602445774,0.436639056380522,0.34899931350970204,0.14765806622682853,-0.11916302060921201,-0.11916302060921201,1.0,0.735779000362459,0.5048252379437025,0.7654407317151102,0.1916914905258817,-0.15887845991123298,0.2907654671661876,0.8451603608771747
music,-0.037310419734303345,0.354693974722726,0.3815469265681737,0.3159040269797972,0.42503177510657864,0.27797879438047934,0.39542672841628,0.3569406026805748,0.4823124282205603,0.408954820751574,0.3095437060701288,-0.10948567357252256,-0.10948567357252256,0.735779000362459,1.0,0.4698100138631101,0.5720667518489274,0.16611848629017464,-0.1445332559417223,0.16836296136171133,0.6232691204612455
winner,-0.03751949844490879,0.0572298951750119,0.42606677807026605,0.3776426477815947,0.47545274415691174,0.2408396561099839,0.3886195195043492,0.3722403557332371,0.2864181560600395,-0.11573677344609877,0.10781129258998122,-0.379052141119002,-0.379052141119002,0.5048252379437025,0.4698100138631101,1.0,0.41669614065442934,-0.0889646800110495,-0.4839136173948037,-0.22688276588431028,0.6597964844411596
see,-0.04031762564035173,0.4012005585025673,0.5170162937595155,0.5136282951422713,0.48722047868748514,0.5222509820075549,0.6226187281270311,0.622762105350784,0.5166594585325944,0.15650440018537082,0.30646347021251225,-0.1965906918006112,-0.1965906918006112,0.7654407317151102,0.5720667518489274,0.41669614065442934,1.0,0.22681303130008335,-0.1726410249984503,0.24165581565846278,0.5957060695687276
science,-0.042874324644104546,0.2328447884627744,-0.025021029999404133,0.13717570161329212,0.07296342412304228,0.15011864945454856,0.2135188762062491,-0.07166843989507309,0.4523925951404426,0.025154234837704462,-0.08388913310210559,0.6497077294326598,0.6497077294326598,0.1916914905258817,0.16611848629017464,-0.0889646800110495,0.22681303130008335,1.0,0.7310576016096517,0.5829114314172779,-0.028008192222304988
technical,-0.05243677911511304,-0.036437588096357366,-0.4699750845098021,-0.3210049340770559,-0.3610193333943136,-0.20635593673146785,-0.22527058646472192,-0.4457750091039393,-0.005563390719737643,0.0621385138658218,-0.23305283440552596,0.8681880317614321,0.8681880317614321,-0.15887845991123298,-0.1445332559417223,-0.4839136173948037,-0.1726410249984503,0.7310576016096517,1.0,0.5469490765744179,-0.33297115040516556
descriptive,-0.05311127939170749,0.13599856656994583,-0.28054613084020763,-0.14836668158404875,-0.20302649138097278,-0.1251993397108508,-0.0554114747587422,-0.1836176604723869,0.14118660452184373,0.21856635186961398,-0.2609146321967218,0.5553971259257242,0.5553971259257242,0.2907654671661876,0.16836296136171133,-0.22688276588431028,0.24165581565846278,0.5829114314172779,0.5469490765744179,1.0,-0.025548517553249522
performance,-0.05466218843272666,-0.030290326335066772,0.19360183284068558,0.12772255287659848,0.15747295465226838,0.13962838392895735,0.2548403968711953,0.30487485967063727,0.16018716539949257,0.17062864323833607,0.060717514567166765,-0.25997073434319706,-0.25997073434319706,0.8451603608771747,0.6232691204612455,0.6597964844411596,0.5957060695687276,-0.028008192222304988,-0.33297115040516556,-0.025548517553249522,1.0
