,success,altmodisch,basic,volkswagen,trust,weapon,pleasant,restrictive,electric,names,traditionell,diligent,trustworthy,TheCreator,collar,evaluating,TheRuler,see,winner,TheSage,TheHero
diligent,-0.13737421865261462,-0.16950785927267734,0.18177162204076408,-0.5479828126643173,-0.6844355177081863,-0.1309615173786815,0.6636877499605194,0.13215791692061327,0.008809167092690761,-0.3495462435958715,0.41583389608079296,1.0,0.7736848771083151,0.611776142432784,0.6815761557214508,0.35269346051212064,0.5326105591523067,0.47862277659055213,0.2804658110040002,0.7014770061960752,0.7550586545279545
trustworthy,-0.13834789316373033,-0.14925098379059415,0.09243408324312674,-0.3662115298647629,-0.606649288286048,0.153107821541145,0.5116933921152669,0.47518852135348255,0.3095366270424779,-0.2272109105172542,0.5439103936683805,0.7736848771083151,1.0,0.7765397029955224,0.600678362604234,0.6912896330002796,0.8008774494434349,0.376278462410466,0.06261158833330346,0.8605692570974633,0.7264659055413188
TheCreator,-0.1396755694310886,0.1893606545028605,0.15098753967031037,-0.2538488519593311,-0.5350044873845654,0.11447741509946881,0.5432607477368221,0.25118210175743216,0.21479608743140538,-0.0111798016872264,0.6217790809261323,0.611776142432784,0.7765397029955224,1.0,0.5238848321905851,0.5034344499206632,0.7846879382618475,0.5632410812833637,0.24372716496845134,0.8048516562557783,0.7798447634431738
collar,-0.14695593682829902,-0.07718815145620128,-0.02523329856832874,-0.443545372313995,-0.42362804808975896,-0.3090141285598477,0.36605721954319953,-0.1528058053788562,-0.23074894834576815,-0.0208670837841977,0.4111862550159595,0.6815761557214508,0.600678362604234,0.5238848321905851,1.0,0.2502425293906568,0.48638337602942433,0.3779923867074159,0.3613751938693035,0.7384859264795002,0.6525506525117993
evaluating,-0.1490455444316411,-0.1939942856857961,-0.13812099842771833,-0.16098352574163172,-0.3378019920042903,0.241828616947054,0.03951533063289762,0.5100688440500657,0.47251992184698816,-0.31626874959146045,0.2608205076004142,0.35269346051212064,0.6912896330002796,0.5034344499206632,0.2502425293906568,1.0,0.657972782235046,0.08456539069305861,-0.14815612110264637,0.6295936593544813,0.3425323394074875
TheRuler,-0.15405595865546629,-0.21715883161146812,-0.06776263503712629,-0.06783638272265219,-0.42342237642031283,0.19893434243548655,0.2564720839124537,0.363712547810284,0.3846890248050753,-0.12017030631037767,0.4361648567511842,0.5326105591523067,0.8008774494434349,0.7846879382618475,0.48638337602942433,0.657972782235046,1.0,0.18647356671462706,0.18734873939658483,0.8133050771231707,0.7321266663566569
see,-0.1566763735654208,0.18474290601086524,0.28247449855623535,-0.39656574715186244,-0.4925453333916061,-0.1137269811424157,0.4847336037465279,-0.08792152749427173,-0.3250179981639486,0.042983797293896515,0.4239735836831265,0.47862277659055213,0.376278462410466,0.5632410812833637,0.3779923867074159,0.08456539069305861,0.18647356671462706,1.0,0.4646498365755294,0.40313477890050026,0.5829036500810482
winner,-0.16520865978088353,-0.034537439209443056,0.11245934793872121,-0.013601452396963119,-0.17102961713141013,-0.17886241638417089,0.18317784248173102,-0.4247671429846091,-0.5729682372857761,0.3313418031822896,0.16921028243396818,0.2804658110040002,0.06261158833330346,0.24372716496845134,0.3613751938693035,-0.14815612110264637,0.18734873939658483,0.4646498365755294,1.0,0.17562538010575662,0.6498168519793015
TheSage,-0.16733609185632714,-0.10209404387963507,-0.09119521264447676,-0.358959620395772,-0.4813327464095842,-0.06987817280479997,0.36104035939471985,0.18432226316991993,0.18548744463424255,-0.14234797421292528,0.4886739404143065,0.7014770061960752,0.8605692570974633,0.8048516562557783,0.7384859264795002,0.6295936593544813,0.8133050771231707,0.40313477890050026,0.17562538010575662,1.0,0.7552272566194055
TheHero,-0.19181486448586932,-0.1391921171706728,0.1700556397684807,-0.29232845891808623,-0.5733401829966357,-0.008520568749723052,0.5511523940446638,0.06454507078963502,-0.08688647371712677,-0.020852942561767816,0.49643757910968644,0.7550586545279545,0.7264659055413188,0.7798447634431738,0.6525506525117993,0.3425323394074875,0.7321266663566569,0.5829036500810482,0.6498168519793015,0.7552272566194055,1.0
