,success,volkswagen,altmodisch,trust,rachel,innovative,electric,bargain,outside,technical,names,TheSage,performance,music,children,TheLover,collar,TheJester,TheHero,teaching,winner
names,0.01567993984504794,0.47147322873163966,0.4132454783403189,0.5076265357826129,-0.07138496353537348,-0.07138496353537348,-0.4380254749171517,-0.17105012025061653,-0.451593867631137,-0.30017149878015553,1.0,-0.3314280005528,0.1623132775878635,0.2564328091404824,-0.34878636960983406,-0.2541475217924847,-0.24496812236888496,-0.3137584441846516,-0.27020044071370525,-0.39301160781994265,0.15959230241019504
TheSage,-0.1425315759031761,-0.4438716657112546,-0.043876783504448624,-0.587601645117406,0.3854944887624116,0.3854944887624116,0.2941110131384679,-0.38429002283892066,0.4458816506745884,0.47996115956090163,-0.3314280005528,1.0,-0.035875132405329226,0.2459233334192236,0.4956445105945068,0.8136779941851002,0.7612343457535481,0.6691312115542308,0.7777561380310026,0.8624365678831252,0.16686571186922566
performance,-0.15195411539608114,-0.038692925446335284,0.09542117588161587,0.04680661386963751,-0.22864814672914602,-0.22864814672914602,-0.44626135391983773,-0.09288496333999996,-0.46221994200681643,-0.3077104849913084,0.1623132775878635,-0.035875132405329226,1.0,0.5138880239174695,0.07494430197530472,0.18612401461949019,0.05438909366282409,0.07823902320049232,0.29597439677369974,0.052653471508815546,0.5903279716053152
music,-0.16090400807430724,-0.10401688848948508,0.3671329048842051,-0.23376515884067076,0.017745227859150826,0.017745227859150826,-0.13091623329281765,-0.29761635282797877,-0.027488527487895126,-0.02215513739959724,0.2564328091404824,0.2459233334192236,0.5138880239174695,1.0,0.3149355230925195,0.4159208390911147,0.06226725133172499,0.4440551850831191,0.4361131816467517,0.3500761802038184,0.44048370649806545
children,-0.16115353133940324,-0.5294851337726671,-0.06185092553852847,-0.7069759288848424,-0.2266169792557178,-0.2266169792557178,0.038506604623009436,-0.08765864024202165,0.255172208710875,-0.04344532426160939,-0.34878636960983406,0.4956445105945068,0.07494430197530472,0.3149355230925195,1.0,0.7232737344262544,0.5534056548172736,0.8142216078730236,0.6181342455168886,0.7423908861490176,0.23699036238574497
TheLover,-0.16676388382001314,-0.4588995124938514,-0.03370342837510815,-0.6891999686938345,0.08187687195375924,0.08187687195375924,0.08818504441590666,-0.2505997571776202,0.3480789364870189,0.17033093152953102,-0.2541475217924847,0.8136779941851002,0.18612401461949019,0.4159208390911147,0.7232737344262544,1.0,0.7476935554896755,0.8547684982087466,0.9028818111842498,0.8299939951588087,0.42965886763632694
collar,-0.17219400653785932,-0.4474677792434665,-0.10818016832538829,-0.514004276483393,-0.022215954495138076,-0.022215954495138076,0.012165163934803177,-0.33944613256284734,0.21658715180565685,0.127724527982862,-0.24496812236888496,0.7612343457535481,0.05438909366282409,0.06226725133172499,0.5534056548172736,0.7476935554896755,1.0,0.623083086109574,0.7003122722075709,0.7004716018988446,0.2919110520485912
TheJester,-0.17674906881188926,-0.5710818642733168,-0.06320953967420771,-0.7766781153336338,-0.11748267016866382,-0.11748267016866382,0.057523390797275004,-0.17815061081282554,0.3236810116962026,0.029198936950201308,-0.3137584441846516,0.6691312115542308,0.07823902320049232,0.4440551850831191,0.8142216078730236,0.8547684982087466,0.623083086109574,1.0,0.7931928250179264,0.7565251047761905,0.35383562270007635
TheHero,-0.18600120835427467,-0.4173703025985286,-0.1673406048544904,-0.68228113594274,0.10313756721378689,0.10313756721378689,0.03436583345473081,-0.3043084910140283,0.28612259243080257,0.160996568334209,-0.27020044071370525,0.7777561380310026,0.29597439677369974,0.4361131816467517,0.6181342455168886,0.9028818111842498,0.7003122722075709,0.7931928250179264,1.0,0.8221488113480145,0.6400271850061462
teaching,-0.19422083510903662,-0.5212208946158695,-0.116644200599302,-0.6912191646993082,0.2005963173697556,0.2005963173697556,0.23462420258016925,-0.3275284102211978,0.44276147188406934,0.33295480943631994,-0.39301160781994265,0.8624365678831252,0.052653471508815546,0.3500761802038184,0.7423908861490176,0.8299939951588087,0.7004716018988446,0.7565251047761905,0.8221488113480145,1.0,0.2778779609281223
winner,-0.19913533504665934,-0.04459100218524454,-0.1638901180535104,-0.24672403377703275,-0.23910425521574621,-0.23910425521574621,-0.44070778422482093,-0.08773500092828089,-0.27220845429431495,-0.327265589144962,0.15959230241019504,0.16686571186922566,0.5903279716053152,0.44048370649806545,0.23699036238574497,0.42965886763632694,0.2919110520485912,0.35383562270007635,0.6400271850061462,0.2778779609281223,1.0
