,success,volkswagen,trust,bargain,innovative,rachel,weapon,outside,technical,protective,cold,names,friendship,fascination,community,winner,lustig,arts,arts,show,see
names,-0.1021163348321993,-0.06283029519355568,0.016105166209323243,-0.1516954500251421,-0.39914169405175204,-0.39914169405175204,-0.37000055688988115,-0.5958853259908881,-0.493641574485563,-0.545748315040205,-0.4608298117434371,1.0,0.267624429728667,0.15465248860221173,0.007524293920904493,0.525289343041938,0.2773669524446087,0.44073014273128364,0.44073014273128364,0.4270548564522933,0.1822876758311208
friendship,-0.10241501368098539,-0.5305789167162199,-0.6830035058554355,-0.1755851460872707,-0.37272705111504784,-0.37272705111504784,0.21361713579867503,0.09143259959520127,-0.276151288724738,0.15017405761227914,0.2057229432128648,0.267624429728667,1.0,0.5340507816960248,0.44245326443426314,0.46753421670974127,0.776068041481058,0.586658528448433,0.586658528448433,0.37527574973733674,0.6567868313605368
fascination,-0.10872070080890352,-0.3964560326857795,-0.5400585866052865,-0.3743821579692395,0.2710210510168506,0.2710210510168506,0.017469324820618526,0.21014245485954236,0.23183753250189412,0.2241571133016877,0.5461623906406796,0.15465248860221173,0.5340507816960248,1.0,0.6454892902447682,0.42612154598169694,0.6968172662182102,0.7621201574401822,0.7621201574401822,0.6879541391317858,0.7353336147064192
community,-0.10936436149938017,-0.4511132714593633,-0.5909308186144071,-0.3365186924849181,0.1705516890091683,0.1705516890091683,-0.012037681475730921,0.39318858007941204,0.18931218826165966,0.3380685055747928,0.42306098850536905,0.007524293920904493,0.44245326443426314,0.6454892902447682,1.0,0.349815796120974,0.4158066353693204,0.484536501528635,0.484536501528635,0.35695948720299653,0.5028989566439709
winner,-0.11409668548791581,-0.143569801302203,-0.3077883725928793,-0.04137448391405557,-0.2580040618282312,-0.2580040618282312,-0.020258252142599215,-0.2308233440628184,-0.348686116893602,-0.24060799662758633,-0.0821107966358843,0.525289343041938,0.46753421670974127,0.42612154598169694,0.349815796120974,1.0,0.3742526838176683,0.5695357998789307,0.5695357998789307,0.5598612724925778,0.49654562499610744
lustig,-0.1285135143861975,-0.5827762779685338,-0.6137128569164644,-0.29528142018933523,-0.15765028110629617,-0.15765028110629617,0.05660378284274763,0.03684724821127793,-0.08010433748758083,0.15776352747468195,0.3389812556211454,0.2773669524446087,0.776068041481058,0.6968172662182102,0.4158066353693204,0.3742526838176683,1.0,0.7035911578159736,0.7035911578159736,0.5707288066726196,0.7499175074576777
arts,-0.1331281202014124,-0.3975381198648514,-0.504081316422744,-0.23919865930330284,-0.11654232773943543,-0.11654232773943543,-0.021934160400932327,-0.01971382903481594,-0.13030552163314155,-0.06927434029175869,0.15237198955857173,0.44073014273128364,0.586658528448433,0.7621201574401822,0.484536501528635,0.5695357998789307,0.7035911578159736,1.0,1.0,0.8303644780608663,0.7110557906174813
arts,-0.1331281202014124,-0.3975381198648514,-0.504081316422744,-0.23919865930330284,-0.11654232773943543,-0.11654232773943543,-0.021934160400932327,-0.01971382903481594,-0.13030552163314155,-0.06927434029175869,0.15237198955857173,0.44073014273128364,0.586658528448433,0.7621201574401822,0.484536501528635,0.5695357998789307,0.7035911578159736,1.0,1.0,0.8303644780608663,0.7110557906174813
show,-0.14247765149781152,-0.29458273362197146,-0.2994232409084959,-0.16966936029476548,-0.029279202933257722,-0.029279202933257722,-0.1406280216715032,-0.1299431960921297,-0.06480532024816445,-0.11335044206510557,0.08650632774649566,0.4270548564522933,0.37527574973733674,0.6879541391317858,0.35695948720299653,0.5598612724925778,0.5707288066726196,0.8303644780608663,0.8303644780608663,1.0,0.7211457636689833
see,-0.1433336962455863,-0.5354912597351973,-0.6495392904382045,-0.29844790051226017,-0.07134983088122018,-0.07134983088122018,0.10835517346619271,0.18412772407206396,0.008260156868778611,0.23543002150451414,0.37417729143039363,0.1822876758311208,0.6567868313605368,0.7353336147064192,0.5028989566439709,0.49654562499610744,0.7499175074576777,0.7110557906174813,0.7110557906174813,0.7211457636689833,1.0
