,success,winner,TheHero,math,names,male,community,names,lifestyle,blunt,names,cold,descriptive,indulgent,unattractive,expensive,design,practical,technical,altmodisch,electric
names,0.04550818568765564,0.4830961226853922,0.17353288010376045,-0.23760957400508353,0.678535652623894,0.24848475818191856,0.020258024540749084,0.8988160652711787,0.0676387996749694,-0.013334710623694897,1.0,-0.29855965050632505,-0.25665070905714593,-0.24403221496190236,-0.4029959168187012,-0.3431365012885799,-0.2249106830836015,-0.45866193436296704,-0.37593740144692056,0.270151577388836,-0.49485623667413015
cold,-0.034105179419580994,-0.3340094230061317,0.37846745802107934,0.17454017592947968,-0.46480401607590105,0.16606061355317955,0.26612756691077855,-0.36097571631435243,0.4652894291016466,0.5418400017732078,-0.29855965050632505,1.0,0.4881540076796717,0.6391698487968598,0.7366106285203835,0.6681006194732406,0.8766190998211842,0.8200723868873636,0.6996434813933963,0.23494889065977004,0.540473504940212
descriptive,-0.03446825171478429,-0.26914258632238486,0.1505234086391603,0.3665518946278665,-0.35440141765328126,-0.19939221185236394,0.18565208542217593,-0.30039572388585745,0.10262826450618313,0.11014964534897811,-0.25665070905714593,0.4881540076796717,1.0,0.2313364792597234,0.43292413800350005,0.20183226154009973,0.47825930645183734,0.6409109077288225,0.5430872213010196,0.1652081736804485,0.309998812969398
indulgent,-0.036219289955938025,-0.14999215031176003,0.3369998390899577,0.06397176077880422,-0.28160446282657114,0.35210877025356296,0.121115776233504,-0.23720870910391012,0.45632283796387185,0.5309909729254493,-0.24403221496190236,0.6391698487968598,0.2313364792597234,1.0,0.6326876509556059,0.6473791935916168,0.6870407512934983,0.4757187064078343,0.21980284861474553,0.2525322410853353,0.20414788385136784
unattractive,-0.03655704307554652,-0.224822901024419,0.4898830685645642,0.42327412641882645,-0.46780317817189226,0.37402613228399584,0.42491681701007034,-0.47666677750465575,0.5118160963885025,0.6822474539189259,-0.4029959168187012,0.7366106285203835,0.43292413800350005,0.6326876509556059,1.0,0.6010528460853422,0.5772123846836944,0.7920670153196465,0.4019938615220797,-0.06313691846190947,0.35289564187514183
expensive,-0.041367706852719885,-0.20580758529594032,0.33601088580858535,0.10059293373939843,-0.4123065705953666,0.2219322957469127,0.2924667710405564,-0.35420823426607134,0.47235114876810647,0.43076684508711033,-0.3431365012885799,0.6681006194732406,0.20183226154009973,0.6473791935916168,0.6010528460853422,1.0,0.6777355308317154,0.560551983936734,0.4695997313975862,0.1421774870749634,0.4725068195246721
design,-0.04163909930939094,-0.34074211917681957,0.2594726636183635,0.02960419108026064,-0.3961814486139287,0.08185980382429828,0.16158291177255646,-0.2560367860445147,0.42538265358014005,0.37135918678261165,-0.2249106830836015,0.8766190998211842,0.47825930645183734,0.6870407512934983,0.5772123846836944,0.6777355308317154,1.0,0.6532174941615795,0.6314916325763421,0.4614345851178094,0.47483261394501874
practical,-0.044402685797108675,-0.3443517952967734,0.3619967537302574,0.34896750816031064,-0.5284392231715949,0.06563134995418987,0.3668652022258395,-0.5557927865620127,0.33590629000614153,0.48883717794443204,-0.45866193436296704,0.8200723868873636,0.6409109077288225,0.4757187064078343,0.7920670153196465,0.560551983936734,0.6532174941615795,1.0,0.6656031640406018,-0.04148737558429636,0.5098349236446896
technical,-0.04828689801913304,-0.4300701675270378,0.05010306556072957,0.14566194830958948,-0.4688351048381643,-0.30027868868267754,0.09047540363802378,-0.4551295687045837,0.04923165574235481,0.08870897469096047,-0.37593740144692056,0.6996434813933963,0.5430872213010196,0.21980284861474553,0.4019938615220797,0.4695997313975862,0.6314916325763421,0.6656031640406018,1.0,0.09435576204409396,0.778981116261089
altmodisch,-0.05670305509672508,-0.17058239777937517,-0.16527515161831344,-0.3761870151271633,0.16436993198771788,-0.08435575150061966,-0.22723842651680048,0.37568320397411475,0.08932974334991595,-0.18118487981359738,0.270151577388836,0.23494889065977004,0.1652081736804485,0.2525322410853353,-0.06313691846190947,0.1421774870749634,0.4614345851178094,-0.04148737558429636,0.09435576204409396,1.0,-0.0016655236891903577
electric,-0.058431057540440104,-0.5449977330922766,-0.11324854632732044,0.12362862362001388,-0.5431027527156934,-0.2759728919320999,0.06952446152506978,-0.5638724600094456,0.03534687825350498,0.03593417367553784,-0.49485623667413015,0.540473504940212,0.309998812969398,0.20414788385136784,0.35289564187514183,0.4725068195246721,0.47483261394501874,0.5098349236446896,0.778981116261089,-0.0016655236891903577,1.0
