,success,unnatürlich,traditional,traditionell,untrustworthy,small,restrictive,below,descriptive,positive,design,new,names,TheHero,collar,volkswagen,names,performance,collar,bargain,winner
new,-0.022210981042874896,0.254698772556509,0.5218728557881199,0.34612363084845343,0.2875773276120825,0.38804691228348825,0.1375931720867921,0.15547078269695808,0.25132070673058376,0.3240001886887093,0.4338689388198508,1.0,-0.02177831217177361,0.3727917450275678,0.06655408313021179,0.07305097583870508,-0.19540487132443715,-0.015218005083875203,0.09481951202398614,-0.10290892432297516,-0.010963471510939463
names,-0.024358687349423216,-0.09478229057779382,-0.027423903376835156,0.08700225391600705,-0.3134760525677236,-0.34696558604657973,-0.21082138185525903,-0.40592600960153663,-0.27050316324833334,-0.29748834865765217,-0.15134484235198425,-0.02177831217177361,1.0,-0.15046127827721864,-0.1751896120821164,0.42519588945830755,0.37037433833367034,0.16967766464473039,-0.16268600898012867,-0.2437040895869079,0.14200648702350985
TheHero,-0.02506701423002688,0.15443668707416136,0.3652089314274172,0.4758733998897332,0.5192723417269345,0.365736961177733,0.22971896775946785,0.22926384110433573,0.24274896349251734,0.5322082430588333,0.27896919313320856,0.3727917450275678,-0.15046127827721864,1.0,0.6685826098231702,-0.368274145207773,0.17952827324733184,0.283699229765834,0.19951893353619277,-0.2432151044379314,0.601578490924539
collar,-0.02717318470124143,0.11263570138360912,0.13866444046101106,0.4296372119525236,0.4749403477792459,0.2674077623427474,0.17472586812640942,0.15128132564623695,0.04904127245040996,0.37327869793859975,0.1536494450868879,0.06655408313021179,-0.1751896120821164,0.6685826098231702,1.0,-0.38095739397003775,0.15417195497581573,-0.032796013098913675,0.40870301176823387,-0.30667263449286974,0.2879008011756531
volkswagen,-0.031202852756237673,-0.06361994038519363,-0.08413163825918014,-0.2958519542958726,-0.5217102058951616,-0.24881037148706642,-0.3087045009771889,-0.3820212718227141,-0.25381755025705455,-0.35385229762424864,-0.09134161297225915,0.07305097583870508,0.42519588945830755,-0.368274145207773,-0.38095739397003775,1.0,0.00905159576262961,-0.016152083464068,0.23248838502461003,0.07584204648843086,-0.07729555360793777
names,-0.042185707697830116,-0.5271008948661445,-0.24581180117668258,-0.015032512574598412,-0.22237173907855506,-0.5733346607410877,-0.5191686636873641,-0.4320181737152916,-0.28237603738840933,-0.34308356326656175,-0.3980304951955252,-0.19540487132443715,0.37037433833367034,0.17952827324733184,0.15417195497581573,0.00905159576262961,1.0,0.538861903232521,-0.013847812889683345,-0.153484638783785,0.5943206957259994
performance,-0.04391163592840746,-0.4661863480627676,0.04367818387304858,-0.08045108041838264,-0.18960360507188684,-0.41697638962289774,-0.46235785132663515,-0.3616603209452095,-0.019479302206155027,-0.19412907954567096,-0.16069831273891524,-0.015218005083875203,0.16967766464473039,0.283699229765834,-0.032796013098913675,-0.016152083464068,0.538861903232521,1.0,-0.09971840362041817,0.026422639025412073,0.5775172524190532
collar,-0.04915441943791085,0.14609796540769784,0.04772963642761859,0.05194048607654707,0.1357690964098292,0.22991931602682786,0.10018442164391,0.08162915831950031,-0.1786673846350685,0.1350462479973136,0.12875048433512595,0.09481951202398614,-0.16268600898012867,0.19951893353619277,0.40870301176823387,0.23248838502461003,-0.013847812889683345,-0.09971840362041817,1.0,-0.202430662951578,-0.001398055818729981
bargain,-0.0497196138040146,-0.28612041812692196,-0.3175828623065444,-0.37103859899491365,-0.23273430627117145,-0.15681976435645803,-0.19488241838851397,-0.13749226167652123,-0.25678239699535965,-0.2035179264519418,-0.23798670283536494,-0.10290892432297516,-0.2437040895869079,-0.2432151044379314,-0.30667263449286974,0.07584204648843086,-0.153484638783785,0.026422639025412073,-0.202430662951578,1.0,0.0774942041463707
winner,-0.05749203600908294,-0.3694402291563882,-0.13476604478748952,0.06406154020436458,0.008081837738534178,-0.31365607516852245,-0.2760793907535749,-0.15696047787905573,-0.17794002146120666,-0.08574969185024221,-0.31122336653239363,-0.010963471510939463,0.14200648702350985,0.601578490924539,0.2879008011756531,-0.07729555360793777,0.5943206957259994,0.5775172524190532,-0.001398055818729981,0.0774942041463707,1.0
