,success,weapon,volkswagen,restrictive,protective,below,bargain,outside,unnatürlich,cold,trust,see,fascination,lustig,winner,culture,names,performance,arts,arts,show
trust,0.04128688285566912,-0.29255220378322616,0.5532813890188979,-0.4527374320994527,-0.5182755599616443,-0.6188559061044168,0.14598850060780874,-0.5162638093026773,-0.2757326442863688,-0.46335473840428754,1.0,-0.6495392904382045,-0.5400585866052865,-0.6137128569164644,-0.3077883725928793,-0.5373334095460749,0.016105166209323243,0.040933142443607455,-0.504081316422744,-0.504081316422744,-0.2994232409084959
see,-0.08625801580549546,0.10835517346619271,-0.5354912597351973,0.23201809571442636,0.23543002150451414,0.3529404153566062,-0.29844790051226017,0.18412772407206396,0.1145469201889562,0.37417729143039363,-0.6495392904382045,1.0,0.7353336147064192,0.7499175074576777,0.49654562499610744,0.5981739401543862,0.1822876758311208,0.45946480231834397,0.7110557906174813,0.7110557906174813,0.7211457636689833
fascination,-0.08661908281627784,0.017469324820618526,-0.3964560326857795,0.13778350680802037,0.2241571133016877,0.15568717139411886,-0.3743821579692395,0.21014245485954236,0.19895820873891748,0.5461623906406796,-0.5400585866052865,0.7353336147064192,1.0,0.6968172662182102,0.42612154598169694,0.7803395883529725,0.15465248860221173,0.3675458330577016,0.7621201574401822,0.7621201574401822,0.6879541391317858
lustig,-0.08892234330167144,0.05660378284274763,-0.5827762779685338,0.23689239640146542,0.15776352747468195,0.2531791285670114,-0.29528142018933523,0.03684724821127793,0.060537220400232565,0.3389812556211454,-0.6137128569164644,0.7499175074576777,0.6968172662182102,1.0,0.3742526838176683,0.5112672346368391,0.2773669524446087,0.2802829304862468,0.7035911578159736,0.7035911578159736,0.5707288066726196
winner,-0.08972572021983694,-0.020258252142599215,-0.143569801302203,-0.17892157113696466,-0.24060799662758633,-0.09511427829546688,-0.04137448391405557,-0.2308233440628184,-0.2651614564512981,-0.0821107966358843,-0.3077883725928793,0.49654562499610744,0.42612154598169694,0.3742526838176683,1.0,0.5276500366266622,0.525289343041938,0.5558696114509846,0.5695357998789307,0.5695357998789307,0.5598612724925778
culture,-0.09989933974725512,-0.11500681013509809,-0.3150739733819894,-0.07257994861893811,0.08004131635367834,-0.030270552003694256,-0.2289648247208578,0.16809659016952905,-0.02437993099348641,0.3123764240856851,-0.5373334095460749,0.5981739401543862,0.7803395883529725,0.5112672346368391,0.5276500366266622,1.0,0.2931550985144687,0.526174930810068,0.8211670231568653,0.8211670231568653,0.7360957099023206
names,-0.10358387538991694,-0.37000055688988115,-0.06283029519355568,-0.5757373095944065,-0.545748315040205,-0.485520054583996,-0.1516954500251421,-0.5958853259908881,-0.5490531567995592,-0.4608298117434371,0.016105166209323243,0.1822876758311208,0.15465248860221173,0.2773669524446087,0.525289343041938,0.2931550985144687,1.0,0.5206135555495389,0.44073014273128364,0.44073014273128364,0.4270548564522933
performance,-0.10952292342276644,-0.3071589322195638,-0.06364936131501692,-0.49315175477488044,-0.3934091599152255,-0.4428494663274364,0.023335857305136036,-0.4082819044379608,-0.43127019268017636,-0.2549354463165791,0.040933142443607455,0.45946480231834397,0.3675458330577016,0.2802829304862468,0.5558696114509846,0.526174930810068,0.5206135555495389,1.0,0.5700980895921083,0.5700980895921083,0.8374879511215242
arts,-0.11311226118730636,-0.021934160400932327,-0.3975381198648514,-0.061843667693607794,-0.06927434029175869,0.016563897156447113,-0.23919865930330284,-0.01971382903481594,-0.0679835313938744,0.15237198955857173,-0.504081316422744,0.7110557906174813,0.7621201574401822,0.7035911578159736,0.5695357998789307,0.8211670231568653,0.44073014273128364,0.5700980895921083,1.0,1.0,0.8303644780608663
arts,-0.11311226118730636,-0.021934160400932327,-0.3975381198648514,-0.061843667693607794,-0.06927434029175869,0.016563897156447113,-0.23919865930330284,-0.01971382903481594,-0.0679835313938744,0.15237198955857173,-0.504081316422744,0.7110557906174813,0.7621201574401822,0.7035911578159736,0.5695357998789307,0.8211670231568653,0.44073014273128364,0.5700980895921083,1.0,1.0,0.8303644780608663
show,-0.12841718569671548,-0.1406280216715032,-0.29458273362197146,-0.21502998704210466,-0.11335044206510557,-0.15700478766635032,-0.16966936029476548,-0.1299431960921297,-0.14738154177249882,0.08650632774649566,-0.2994232409084959,0.7211457636689833,0.6879541391317858,0.5707288066726196,0.5598612724925778,0.7360957099023206,0.4270548564522933,0.8374879511215242,0.8303644780608663,0.8303644780608663,1.0
