,success,valuable,positive,expensive,unattractive,inside,big,nachhaltig,outside,sustainable,kompliziert,instrument,show,altmodisch,performance,music,trust,names,names,names,names
kompliziert,0.1530425775862019,0.8853479277961931,0.7876905487526391,0.689368454288307,0.8842641202632033,0.771980340256597,0.833880127899535,0.8701567434207009,0.7209589785119375,0.8652013166048409,1.0,0.12851007938527398,0.15468817319269654,-0.046712168089010235,-0.25282960345525374,0.21386520953773147,-0.6303996469808564,-0.45311422646873845,-0.4417139679456567,-0.4698966252226273,-0.4250130003747998
instrument,-0.025962234942458317,0.08659962642335362,0.26524431821918354,0.2272924388702803,0.09040331066394326,0.12113712007891562,0.23854112508461064,0.04403205034197802,0.10476935391157803,0.1340437900417911,0.12851007938527398,1.0,0.5044938372513587,0.4703597224841131,0.2955049834914462,0.7404859391542185,-0.14958957782005056,0.2662009213725024,0.14563660590747088,0.2369281633259786,0.22524272839669676
show,-0.026863344453525482,0.20439274731970974,0.22045161278199443,0.24193909046913886,0.11194801522641175,0.016149330130057503,0.28809110563269774,0.09780765134353005,-0.08662376386574211,0.13626802340555866,0.15468817319269654,0.5044938372513587,1.0,0.33783511595241617,0.8307145903932284,0.6863237947341668,-0.2828675289624353,0.4947742329458298,0.3989278124762166,0.11773537573975869,0.3632588253759169
altmodisch,-0.04416023389489982,-0.12945505487136655,0.019451688904549597,0.18446477475927808,-0.053016252174397885,-0.14793979741532842,0.03557864441633108,-0.24111795827672938,-0.12652170260225848,-0.018276546888055877,-0.046712168089010235,0.4703597224841131,0.33783511595241617,1.0,0.17522008814485612,0.34443602036071697,0.06081102221064068,0.350891298863735,0.1898014236424299,0.37148622169047085,0.22856530603926503
performance,-0.05852932128313107,-0.15253788999670956,-0.14003575308593574,-0.06224442068881431,-0.25066494823037544,-0.32196983946822777,-0.06796574502612475,-0.2329653977174106,-0.4052636674844618,-0.23533769432057355,-0.25282960345525374,0.2955049834914462,0.8307145903932284,0.17522008814485612,1.0,0.5045036146281743,0.04879246843034989,0.5706351716868082,0.5295795451732396,0.2513067762053266,0.47644125315939856
music,-0.063576578770341,0.1810140658966568,0.3242358573494544,0.19662413408316667,0.17440112233676264,0.14132124346639302,0.34869831225324477,0.21487465906596082,0.0633650793455826,0.1860621002784881,0.21386520953773147,0.7404859391542185,0.6863237947341668,0.34443602036071697,0.5045036146281743,1.0,-0.17066484605242146,0.3584026790414981,0.1774726796088007,0.3122035641798865,0.37367758894541386
trust,-0.10294507926690498,-0.7262922174657709,-0.6849463878334558,-0.5931507144183631,-0.711620228166664,-0.640550704842222,-0.7323754829532747,-0.7374154260214972,-0.5456881773601048,-0.6992628768119679,-0.6303996469808564,-0.14958957782005056,-0.2828675289624353,0.06081102221064068,0.04879246843034989,-0.17066484605242146,1.0,0.27651301119776006,0.0823840711136526,0.5166336025460299,0.4122753760593577
names,-0.12044216755147405,-0.3865373041298455,-0.3293356380855225,-0.2870408894489571,-0.459914688383485,-0.474386815503903,-0.3120169673382608,-0.4640902846849409,-0.5604833802978145,-0.4565948011889077,-0.45311422646873845,0.2662009213725024,0.4947742329458298,0.350891298863735,0.5706351716868082,0.3584026790414981,0.27651301119776006,1.0,0.7501364787595582,0.708808339454401,0.8850442852962342
names,-0.1335379945997497,-0.3853989105027648,-0.38133152982603247,-0.3494527988155242,-0.412346637177675,-0.5160960751688346,-0.34956559990333164,-0.42947404421781654,-0.5871703933002749,-0.4244165949042003,-0.4417139679456567,0.14563660590747088,0.3989278124762166,0.1898014236424299,0.5295795451732396,0.1774726796088007,0.0823840711136526,0.7501364787595582,1.0,0.40494046880669754,0.5842548182292449
names,-0.13405750803809238,-0.48732655686839216,-0.41273572752768284,-0.3802769718164425,-0.4241089971794486,-0.48071958215130617,-0.3520111821024651,-0.506934778333431,-0.4963209607420954,-0.4943164172147027,-0.4698966252226273,0.2369281633259786,0.11773537573975869,0.37148622169047085,0.2513067762053266,0.3122035641798865,0.5166336025460299,0.708808339454401,0.40494046880669754,1.0,0.8125024036597132
names,-0.14625545832523623,-0.4101556076296931,-0.3914457352127911,-0.33971893115543084,-0.4377050328701623,-0.4516124469669836,-0.30724725381096935,-0.44613698441415195,-0.5108821411140378,-0.47896224827894995,-0.4250130003747998,0.22524272839669676,0.3632588253759169,0.22856530603926503,0.47644125315939856,0.37367758894541386,0.4122753760593577,0.8850442852962342,0.5842548182292449,0.8125024036597132,1.0
