,success,female,male,pleasant,family,ugly,pleasant,unsympathisch,beautiful,basic,cruel,altmodisch,descriptive,electric,volkswagen,names,technical,innovative,rachel,trust,bargain
cruel,0.13600782808281606,0.77661750318139,0.7780738844897723,0.863075708904486,0.8551812338749019,0.8835655464793439,0.8226428498153154,0.8354637515928878,0.685020944705212,0.4168138386600201,1.0,-0.16240000745579927,0.32569296799920544,0.16356482431756444,-0.520142847977873,-0.38593002993640035,0.08324474120211177,-0.0179901240548646,-0.0179901240548646,-0.751000425899547,-0.10942444057895397
altmodisch,0.0045902403990802,-0.03395396628385487,-0.09675733539388516,0.008118086441771996,-0.16631505601770125,0.11716493868674872,0.15774955122700068,0.08517858099241542,0.3473188400195084,0.25853964517842126,-0.16240000745579927,1.0,0.12126601997998172,-0.006444398818444835,0.18534523172173342,0.41381518367993053,0.22413337110783155,0.28414961526455773,0.28414961526455773,0.09930556243817824,-0.26312995873771317
descriptive,-0.01966456493207675,-0.056512679296190575,-0.01955225970758485,0.18970018474263495,0.07593671953094083,0.3460542451711513,0.19368918396509263,0.36180033345150386,0.3158890725131483,-0.13316243079479842,0.32569296799920544,0.12126601997998172,1.0,0.2916639206474479,-0.4564504060449418,-0.44600474821058056,0.5247376712990577,0.529680605998776,0.529680605998776,-0.305171721867814,-0.19272511681874385
electric,-0.027596115309797227,-0.2087200591572662,-0.14916776697848483,-0.017515819803453764,-0.07597589679409206,0.046826852107700226,0.06537702582556544,0.07742653718914946,0.03555494527128529,-0.03574962618685403,0.16356482431756444,-0.006444398818444835,0.2916639206474479,1.0,-0.046090051769438915,-0.32088854524028504,0.7083000179729388,0.5028000238431231,0.5028000238431231,-0.20948160381428105,-0.06465243243705261
volkswagen,-0.04657496940824571,-0.350591655408263,-0.2699656443093964,-0.49918519384811266,-0.41899046441392296,-0.5172651124621896,-0.43900484077654245,-0.5099504168582752,-0.4634065324538012,-0.15474891370319144,-0.520142847977873,0.18534523172173342,-0.4564504060449418,-0.046090051769438915,1.0,0.5007360285771344,-0.026087598482830064,-0.02882048238736685,-0.02882048238736685,0.48604874273531884,0.06875289773422279
names,-0.046773062531708376,-0.09560494752514315,-0.11001024693749568,-0.30736758845760276,-0.2524750917960986,-0.3394367366331502,-0.27809466966954716,-0.3774900058037442,-0.2641353323291378,0.06069297075768293,-0.38593002993640035,0.41381518367993053,-0.44600474821058056,-0.32088854524028504,0.5007360285771344,1.0,-0.22984073859143694,-0.0847173273442227,-0.0847173273442227,0.5236648591864722,-0.22876713647720326
technical,-0.04844866996356046,-0.325000741912992,-0.2710574174583561,-0.08037114388653835,-0.2162114721747107,0.04880681592793197,0.06524356221910138,0.13335188711874063,0.16776413947474922,-0.15000326679731085,0.08324474120211177,0.22413337110783155,0.5247376712990577,0.7083000179729388,-0.026087598482830064,-0.22984073859143694,1.0,0.803921347267614,0.803921347267614,-0.10665083744420752,-0.15338859150539155
innovative,-0.06497603442603574,-0.35446305298815517,-0.3377268223455092,-0.12791001713157404,-0.2806740246136609,-0.017944942578946733,-0.0280519436647001,0.010353784407684086,0.11323240941394151,-0.18829463020564413,-0.0179901240548646,0.28414961526455773,0.529680605998776,0.5028000238431231,-0.02882048238736685,-0.0847173273442227,0.803921347267614,1.0,1.0,0.0677256038552034,-0.08270012640167385
rachel,-0.06497603442603574,-0.35446305298815517,-0.3377268223455092,-0.12791001713157404,-0.2806740246136609,-0.017944942578946733,-0.0280519436647001,0.010353784407684086,0.11323240941394151,-0.18829463020564413,-0.0179901240548646,0.28414961526455773,0.529680605998776,0.5028000238431231,-0.02882048238736685,-0.0847173273442227,0.803921347267614,1.0,1.0,0.0677256038552034,-0.08270012640167385
trust,-0.09322291997279034,-0.6713408051706007,-0.6682396769987072,-0.7824152736108043,-0.7382636960375847,-0.7493496203287154,-0.7608725831664532,-0.753710996655387,-0.6468890118118232,-0.47539289268144524,-0.751000425899547,0.09930556243817824,-0.305171721867814,-0.20948160381428105,0.48604874273531884,0.5236648591864722,-0.10665083744420752,0.0677256038552034,0.0677256038552034,1.0,-0.05732277021981509
bargain,-0.10761348672567704,-0.09995232356417141,-0.14304398918120195,-0.11689576093077343,-0.11224757953087211,-0.1287676927819313,-0.07120371177501895,-0.07457633926944263,-0.09187277962064265,0.028512590149599313,-0.10942444057895397,-0.26312995873771317,-0.19272511681874385,-0.06465243243705261,0.06875289773422279,-0.22876713647720326,-0.15338859150539155,-0.08270012640167385,-0.08270012640167385,-0.05732277021981509,1.0
