,success,volkswagen,trendy,rachel,innovative,inaktiv,TheRuler,design,unattractive,weapon,indulgent,responsible,basic,winner,unpleasant,female,arts,arts,names,names,names
indulgent,0.04782472189707185,-0.26292319323585633,0.7158438147957296,0.17373094293795185,0.17373094293795185,0.4715903655997847,0.327607079170994,0.6905685567032148,0.6168102448153076,0.4451118178139983,1.0,0.2808624476277582,0.6487192149189451,0.0015900531226432496,0.43008959021293364,0.38892632818856343,0.36719654040689276,0.36719654040689276,-0.15485008914231713,-0.16178082312737832,-0.25155359349359363
responsible,-0.03618415415099102,-0.42966770109771363,0.17656977077406996,0.03360548654423828,0.03360548654423828,0.5825335230010422,0.7334715383367074,0.22899733566539776,0.7493159089196684,0.08440320317603672,0.2808624476277582,1.0,0.0007130541096846569,0.07169639531632793,0.5097941667559017,0.34672000093674715,0.041572578276684015,0.041572578276684015,-0.23172839991894095,-0.3201621683400914,-0.24599977396174402
basic,-0.03953351195085068,-0.2195204787379816,0.41108059553389426,-0.24688718736201806,-0.24688718736201806,0.19849755038529965,-0.024240284238626633,0.27912357325363585,0.1865225328242109,0.4347758356107004,0.6487192149189451,0.0007130541096846569,1.0,0.15139256613868995,0.547626637930436,0.5908884706037312,0.4312610730797252,0.4312610730797252,0.15776637149505612,0.21700515112028354,0.1271969657892266
winner,-0.03973968579136331,-0.1723227285366851,0.14647270133974516,-0.3932457167463392,-0.3932457167463392,-0.21431147409070161,0.1386969739912967,-0.3335315892555107,-0.08922495895348123,-0.14581987776836264,0.0015900531226432496,0.07169639531632793,0.15139256613868995,1.0,0.2630049119757981,0.48742398565088296,0.4895721870122769,0.4895721870122769,0.42659230625592715,0.5059268729317555,0.6154772019508418
unpleasant,-0.040162426461841635,-0.30262075180097353,0.33183288215321943,-0.3778443969882185,-0.3778443969882185,0.3825250755514915,0.40406311377211707,0.10794096137268674,0.5163876737248526,0.423502179588435,0.43008959021293364,0.5097941667559017,0.547626637930436,0.2630049119757981,1.0,0.8041671480740711,0.4286477405045961,0.4286477405045961,0.2281438688969835,0.14583113632994252,0.06411222310083836
female,-0.040296789465847006,-0.3881744435638628,0.3740866791977546,-0.49630597989681724,-0.49630597989681724,0.22887058069281133,0.32752027048336196,0.014600155962213241,0.3175181600452975,0.20308599193773336,0.38892632818856343,0.34672000093674715,0.5908884706037312,0.48742398565088296,0.8041671480740711,1.0,0.627303706210996,0.627303706210996,0.33838531833240376,0.3694988303268057,0.3402588321096992
arts,-0.04414346264649923,-0.33253364725761847,0.5695386938878098,-0.15927174288504822,-0.15927174288504822,-0.0604062601887204,0.24495572134199742,0.20753755719065736,0.14365239957873624,-0.018610900986846694,0.36719654040689276,0.041572578276684015,0.4312610730797252,0.4895721870122769,0.4286477405045961,0.627303706210996,1.0,1.0,0.4556253990284381,0.5646206371479038,0.4739334452050675
arts,-0.04414346264649923,-0.33253364725761847,0.5695386938878098,-0.15927174288504822,-0.15927174288504822,-0.0604062601887204,0.24495572134199742,0.20753755719065736,0.14365239957873624,-0.018610900986846694,0.36719654040689276,0.041572578276684015,0.4312610730797252,0.4895721870122769,0.4286477405045961,0.627303706210996,1.0,1.0,0.4556253990284381,0.5646206371479038,0.4739334452050675
names,-0.047046794860161396,0.13157400633426075,0.06848356716229928,-0.20726990035661474,-0.20726990035661474,-0.4185011898713402,0.03808478774552265,-0.15974706795293322,-0.3193716565620319,0.03544730307868037,-0.15485008914231713,-0.23172839991894095,0.15776637149505612,0.42659230625592715,0.2281438688969835,0.33838531833240376,0.4556253990284381,0.4556253990284381,1.0,0.9036617309616599,0.6497325632235533
names,-0.06429699603054549,0.12290478373187175,0.08600546960126146,-0.2552556620194301,-0.2552556620194301,-0.4941672880129177,-0.05502413968998313,-0.20444384175062713,-0.4003014134891542,-0.07517512479131114,-0.16178082312737832,-0.3201621683400914,0.21700515112028354,0.5059268729317555,0.14583113632994252,0.3694988303268057,0.5646206371479038,0.5646206371479038,0.9036617309616599,1.0,0.7649001361978135
names,-0.06704024808921458,-0.0688011088035258,-0.06758198785134623,-0.36673612370183495,-0.36673612370183495,-0.36625328147621644,-0.14437029400216403,-0.3876610478776244,-0.3971190714685474,-0.27407046868898477,-0.25155359349359363,-0.24599977396174402,0.1271969657892266,0.6154772019508418,0.06411222310083836,0.3402588321096992,0.4739334452050675,0.4739334452050675,0.6497325632235533,0.7649001361978135,1.0
