,success,traditionell,names,altmodisch,dead,math,teaching,names,family,TheSage,male,ernst,stable,uncool,alive,restrictive,indulgent,expensive,nachhaltig,cool,bargain
male,0.035200012401278874,0.6429531569374825,0.15738660290688952,-0.09738556352856878,0.4790997656319521,0.3460493590306712,0.6186781415717876,0.37844820335617607,0.940339837136451,0.4630612277237554,1.0,0.5483081097180555,0.446330010575547,0.29578816638266847,0.19536356804340055,0.2257429428510062,0.36731238663562543,0.18595304107072494,0.4204564617017804,0.3869430319308109,-0.23854408112945585
ernst,-0.03471081550985035,0.5992134077610438,-0.22644520136629667,-0.046183918930896184,0.6957029226412401,0.3797313896945475,0.7037496405213689,-0.2624050030787911,0.5935681721575501,0.6546413050443268,0.5483081097180555,1.0,0.870969959777211,0.8575325577314384,0.6592950244638952,0.7569665386220245,0.6776080085418078,0.5446989212526118,0.8219607044647577,0.756503996307174,-0.2900711159514099
stable,-0.03480479072182985,0.4793283659498123,-0.3444071357173485,-0.10234207030847306,0.5918129638585006,0.3961397218527174,0.7181692986725028,-0.31310051408788464,0.4925675160621618,0.6495783897375677,0.446330010575547,0.870969959777211,1.0,0.8289957331872088,0.8205136415429558,0.6300264042194743,0.6827181048789414,0.6822416493745087,0.9240685698137078,0.8381068084375856,-0.18966741489910383
uncool,-0.035817279960988754,0.3705877342682888,-0.2830720902317523,-0.13553814880974982,0.5665432284868162,0.4235361307152999,0.49756282463639845,-0.48114229386241064,0.283806159306804,0.4348365290640895,0.29578816638266847,0.8575325577314384,0.8289957331872088,1.0,0.6273801159943002,0.8437642595421919,0.5658862146097786,0.5022886446742018,0.8141535852327824,0.6795509819461928,-0.20092115422587542
alive,-0.03610212871402804,0.3393868665511904,-0.40450396904310865,-0.0008654246982571072,0.4330924589036589,0.3278381897025021,0.6512652704457071,-0.3457718723088972,0.29585634737917044,0.6107251798766887,0.19536356804340055,0.6592950244638952,0.8205136415429558,0.6273801159943002,1.0,0.4475825807161001,0.5633320544622901,0.600013940154833,0.7668650437945702,0.7350090127263522,-0.20037262717748558
restrictive,-0.037005582979704,0.30562648379914614,-0.23355817287963498,-0.1966109663279706,0.5140736944654519,0.35216377276110244,0.3049641296398966,-0.5308567399362175,0.2128200048517682,0.28082731588102366,0.2257429428510062,0.7569665386220245,0.6300264042194743,0.8437642595421919,0.4475825807161001,1.0,0.48557355021273235,0.39036456682894455,0.6605709218221619,0.5201707613429944,-0.13576887593062484
indulgent,-0.037179029569748036,0.5218966065170157,-0.26345959494250865,0.23308376819844814,0.49559440166167373,0.03212142551746128,0.40397830121469536,-0.1842145139335879,0.40419571066252497,0.3516652900514035,0.36731238663562543,0.6776080085418078,0.6827181048789414,0.5658862146097786,0.5633320544622901,0.48557355021273235,1.0,0.6752959272061637,0.5431587358292034,0.7639692563555969,-0.03184907326802997
expensive,-0.03861928279500246,0.37807284938020386,-0.3539827507744345,0.15033015795379198,0.4475600045017477,0.058150435807356744,0.37155324663945233,-0.3378604553704353,0.22673601109034472,0.3445493185481997,0.18595304107072494,0.5446989212526118,0.6822416493745087,0.5022886446742018,0.600013940154833,0.39036456682894455,0.6752959272061637,1.0,0.6147073898516119,0.6471671391823364,0.029189232276809137
nachhaltig,-0.04102387293458376,0.4120804070137528,-0.42903517642713285,-0.3072187156474189,0.64986536745561,0.49315655841382894,0.6953343434491899,-0.3937381702917488,0.4564143146642714,0.6404751998356931,0.4204564617017804,0.8219607044647577,0.9240685698137078,0.8141535852327824,0.7668650437945702,0.6605709218221619,0.5431587358292034,0.6147073898516119,1.0,0.6869667554655993,-0.1156000803601397
cool,-0.04268406892151576,0.44713780389034397,-0.2664451883359683,0.13043788287641817,0.40685843166973745,0.10862051575922997,0.5444599061438978,-0.2084644017585954,0.4754737215380618,0.40778250770876945,0.3869430319308109,0.756503996307174,0.8381068084375856,0.6795509819461928,0.7350090127263522,0.5201707613429944,0.7639692563555969,0.6471671391823364,0.6869667554655993,1.0,-0.13088045583386135
bargain,-0.05787419079308542,-0.34011814346229086,-0.2277139612289042,-0.18351850744905607,-0.3027673832807495,-0.11139192029585777,-0.33359791827901325,-0.21428059024743945,-0.21914333039774375,-0.40518613133115067,-0.23854408112945585,-0.2900711159514099,-0.18966741489910383,-0.20092115422587542,-0.20037262717748558,-0.13576887593062484,-0.03184907326802997,0.029189232276809137,-0.1156000803601397,-0.13088045583386135,1.0
