,success,traditionell,female,family,male,children,friendship,unsympathisch,pleasant,altmodisch,ugly,music,rachel,innovative,see,science,show,descriptive,winner,technical,performance
ugly,0.044899756284965855,0.7026337163108389,0.6968861343155321,0.7053827659318853,0.6353765910614289,0.7144535065936732,0.6956882226990887,0.8130371101063023,0.7817601525264297,0.22030990960197525,1.0,0.32212173642886877,-0.15726816131680393,-0.15726816131680393,0.6713584137697257,0.24122769187453819,0.36941425289765945,0.16142505206814067,0.10436715925763101,-0.0874312123553237,0.07443853724223251
music,-0.040108326960805754,0.354693974722726,0.3815469265681737,0.3159040269797972,0.42503177510657864,0.27797879438047934,0.3569406026805748,0.1547519065641717,0.39542672841628,0.408954820751574,0.32212173642886877,1.0,-0.10948567357252256,-0.10948567357252256,0.5720667518489274,0.16611848629017464,0.735779000362459,0.16836296136171133,0.4698100138631101,-0.1445332559417223,0.6232691204612455
rachel,-0.040971140750667795,0.002711122153928681,-0.5009199945354846,-0.3798981156060842,-0.4149998570622645,-0.31671225420717725,-0.4821392907083228,-0.009503399856841272,-0.2704927432889131,0.1875673123034467,-0.15726816131680393,-0.10948567357252256,1.0,1.0,-0.1965906918006112,0.6497077294326598,-0.11916302060921201,0.5553971259257242,-0.379052141119002,0.8681880317614321,-0.25997073434319706
innovative,-0.040971140750667795,0.002711122153928681,-0.5009199945354846,-0.3798981156060842,-0.4149998570622645,-0.31671225420717725,-0.4821392907083228,-0.009503399856841272,-0.2704927432889131,0.1875673123034467,-0.15726816131680393,-0.10948567357252256,1.0,1.0,-0.1965906918006112,0.6497077294326598,-0.11916302060921201,0.5553971259257242,-0.379052141119002,0.8681880317614321,-0.25997073434319706
see,-0.047574296109940926,0.4012005585025673,0.5170162937595155,0.5136282951422713,0.48722047868748514,0.5222509820075549,0.622762105350784,0.43880336354362115,0.6226187281270311,0.15650440018537082,0.6713584137697257,0.5720667518489274,-0.1965906918006112,-0.1965906918006112,1.0,0.22681303130008335,0.7654407317151102,0.24165581565846278,0.41669614065442934,-0.1726410249984503,0.5957060695687276
science,-0.04920696506609173,0.2328447884627744,-0.025021029999404133,0.13717570161329212,0.07296342412304228,0.15011864945454856,-0.07166843989507309,0.2711633579818486,0.2135188762062491,0.025154234837704462,0.24122769187453819,0.16611848629017464,0.6497077294326598,0.6497077294326598,0.22681303130008335,1.0,0.1916914905258817,0.5829114314172779,-0.0889646800110495,0.7310576016096517,-0.028008192222304988
show,-0.0500689439134663,0.277315568018766,0.3538321162749272,0.3379401571914983,0.33155267431372704,0.33198981480777207,0.42625388602445774,0.19447921144367789,0.45474901122606015,0.34899931350970204,0.36941425289765945,0.735779000362459,-0.11916302060921201,-0.11916302060921201,0.7654407317151102,0.1916914905258817,1.0,0.2907654671661876,0.5048252379437025,-0.15887845991123298,0.8451603608771747
descriptive,-0.05191293112376145,0.13599856656994583,-0.28054613084020763,-0.14836668158404875,-0.20302649138097278,-0.1251993397108508,-0.1836176604723869,0.2231256396959217,-0.0554114747587422,0.21856635186961398,0.16142505206814067,0.16836296136171133,0.5553971259257242,0.5553971259257242,0.24165581565846278,0.5829114314172779,0.2907654671661876,1.0,-0.22688276588431028,0.5469490765744179,-0.025548517553249522
winner,-0.05199391780458009,0.0572298951750119,0.42606677807026605,0.3776426477815947,0.47545274415691174,0.2408396561099839,0.3722403557332371,0.0010826550079825004,0.3886195195043492,-0.11573677344609877,0.10436715925763101,0.4698100138631101,-0.379052141119002,-0.379052141119002,0.41669614065442934,-0.0889646800110495,0.5048252379437025,-0.22688276588431028,1.0,-0.4839136173948037,0.6597964844411596
technical,-0.05628917236310121,-0.036437588096357366,-0.4699750845098021,-0.3210049340770559,-0.3610193333943136,-0.20635593673146785,-0.4457750091039393,0.10541280146576641,-0.22527058646472192,0.0621385138658218,-0.0874312123553237,-0.1445332559417223,0.8681880317614321,0.8681880317614321,-0.1726410249984503,0.7310576016096517,-0.15887845991123298,0.5469490765744179,-0.4839136173948037,1.0,-0.33297115040516556
performance,-0.08362495262775489,-0.030290326335066772,0.19360183284068558,0.12772255287659848,0.15747295465226838,0.13962838392895735,0.30487485967063727,-0.10721250465351753,0.2548403968711953,0.17062864323833607,0.07443853724223251,0.6232691204612455,-0.25997073434319706,-0.25997073434319706,0.5957060695687276,-0.028008192222304988,0.8451603608771747,-0.025548517553249522,0.6597964844411596,-0.33297115040516556,1.0
