,success,outside,power,math,unnatürlich,evaluating,rachel,innovative,restrictive,unsustainable,small,see,names,arts,arts,names,instrument,winner,show,names,performance
small,0.09433568479966492,0.8508985253455225,0.7378370497888916,0.3641847906466716,0.7328682529213241,0.5353336305057833,0.5071455139820712,0.5071455139820712,0.8090441503081723,0.6884048691761425,1.0,0.1721229135608037,-0.43811724489099263,0.008158862659721178,0.008158862659721178,-0.5549606765942414,0.05705936975601885,-0.3268960359786612,-0.1311860205298465,-0.5681379107313792,-0.47191343565881566
see,-0.08446083764705684,0.008044089373911054,-0.03029366005845611,0.13049124233887077,0.004611590481743295,0.2194566628494457,-0.21806078261432177,-0.21806078261432177,0.16101828726169343,0.01675331111199578,0.1721229135608037,1.0,0.18071954398202883,0.7380517738692346,0.7380517738692346,0.20752750101342482,0.22805520650686645,0.38187862365081987,0.7464902412748907,0.28115084475937574,0.49639701500142386
names,-0.08534487108793981,-0.4212397229380058,-0.1315552005693194,-0.14195119544718116,-0.22171876933655596,-0.2445312160537367,-0.20134605739357633,-0.20134605739357633,-0.2960114186862538,-0.1131646381561706,-0.43811724489099263,0.18071954398202883,1.0,0.2908815149263622,0.2908815149263622,0.8866464680344172,0.2506387487360806,0.5005281656277427,0.3778418914656332,0.624625038078869,0.47014199924688915
arts,-0.08563349938511372,-0.09438711340011469,-0.13125913449898202,0.1241762232410945,-0.09325139531834493,0.04482683366457453,-0.18817151644433414,-0.18817151644433414,-0.057942784095672745,-0.03283049474718004,0.008158862659721178,0.7380517738692346,0.2908815149263622,1.0,1.0,0.4517453302921271,0.4543939974466547,0.3939486881822292,0.8183391859920764,0.4493469042844427,0.5242304166561754
arts,-0.08563349938511372,-0.09438711340011469,-0.13125913449898202,0.1241762232410945,-0.09325139531834493,0.04482683366457453,-0.18817151644433414,-0.18817151644433414,-0.057942784095672745,-0.03283049474718004,0.008158862659721178,0.7380517738692346,0.2908815149263622,1.0,1.0,0.4517453302921271,0.4543939974466547,0.3939486881822292,0.8183391859920764,0.4493469042844427,0.5242304166561754
names,-0.08988300241112442,-0.5346831255729311,-0.32110815205586,-0.12854006432715953,-0.38418103785772195,-0.3239854901666933,-0.302197885203437,-0.302197885203437,-0.4721753706877251,-0.2197553136586613,-0.5549606765942414,0.20752750101342482,0.8866464680344172,0.4517453302921271,0.4517453302921271,1.0,0.2874238945283307,0.6040394080639973,0.47765941005638957,0.7983152520314029,0.5615169907948209
instrument,-0.10017295517142738,0.01879866716612372,-0.033498506030330624,-0.03191570266886569,0.04390792628639343,-0.07569911475109019,0.0454445480954142,0.0454445480954142,0.0220505221159141,-0.11349764964544845,0.05705936975601885,0.22805520650686645,0.2506387487360806,0.4543939974466547,0.4543939974466547,0.2874238945283307,1.0,0.12711941212103237,0.44478018647812284,0.23694276473361706,0.2870344835878984
winner,-0.10540114171033346,-0.35112450194683736,-0.1541768732905127,0.26027476195582355,-0.2835671817574276,0.011875264895048433,-0.39643445578229347,-0.39643445578229347,-0.23490772729710077,-0.07664497832615037,-0.3268960359786612,0.38187862365081987,0.5005281656277427,0.3939486881822292,0.3939486881822292,0.6040394080639973,0.12711941212103237,1.0,0.4466545044747072,0.6780437939205758,0.5545314371673887
show,-0.12365978263379152,-0.19921183060135988,-0.19383295009921983,-0.07914240862864813,-0.18508432404659825,-0.04283807281440139,-0.12585572611618415,-0.12585572611618415,-0.2376152100505633,-0.07651792769491417,-0.1311860205298465,0.7464902412748907,0.3778418914656332,0.8183391859920764,0.8183391859920764,0.47765941005638957,0.44478018647812284,0.4466545044747072,1.0,0.4634573458321392,0.8284261786808188
names,-0.1262322321445832,-0.5651822434064409,-0.446421444663124,-0.03122719971714902,-0.5146391651447246,-0.3266213925571749,-0.43761801475177164,-0.43761801475177164,-0.5271348191030149,-0.3093274771599962,-0.5681379107313792,0.28115084475937574,0.624625038078869,0.4493469042844427,0.4493469042844427,0.7983152520314029,0.23694276473361706,0.6780437939205758,0.4634573458321392,1.0,0.5750394784983248
performance,-0.16602746402854468,-0.479566850271149,-0.3884243742860412,-0.287413654871583,-0.47348082518722107,-0.31433129756583583,-0.28853951624124224,-0.28853951624124224,-0.5208825465215646,-0.29746474084643076,-0.47191343565881566,0.49639701500142386,0.47014199924688915,0.5242304166561754,0.5242304166561754,0.5615169907948209,0.2870344835878984,0.5545314371673887,0.8284261786808188,0.5750394784983248,1.0
