,success,names,trust,altmodisch,volkswagen,names,names,names,instrument,basic,weapon,diligent,unsustainable,sustainable,community,valuable,nachhaltig,kompliziert,career,TheHero,TheRuler
weapon,-0.06074284846782885,-0.08568681222258669,-0.3027781414095052,-0.04079126906136119,0.08783915546293597,-0.20486456034504483,-0.31414751985548756,-0.35764049991770613,0.19379668788091797,0.3749930382030062,1.0,0.07318549930099895,0.20234526817224252,0.3387241842583952,-0.07943468500350875,0.28101096296257716,0.3907192882125679,0.3225647709128328,0.18279366872343514,0.1222941805851128,0.2380623599591839
diligent,-0.2380889294472149,-0.516728233901719,-0.8208863338319098,-0.23286527432209186,-0.6577133522405895,-0.2618134669369109,-0.19237016549664843,0.02791598391764808,0.00044055274555328977,0.32587771748334793,0.07318549930099895,1.0,0.49741390142339176,0.6947453043213341,0.7423503353870133,0.835993162375327,0.76681561867964,0.7847988820924542,0.8375878371697663,0.8795758788755397,0.6881154581960724
unsustainable,-0.2382345197317625,-0.37771222201438415,-0.45648487898252066,-0.2751736012846804,-0.23076558979833092,-0.27367464785964046,-0.3283831073961581,-0.3525620784244911,-0.17980524557201066,0.06387143635056045,0.20234526817224252,0.49741390142339176,1.0,0.8391353236943591,0.645702389406521,0.6640813572544839,0.7698178067279953,0.7259114707961648,0.7676167036965772,0.6063482489767795,0.7877840165774435
sustainable,-0.24133881378857983,-0.5656542419443388,-0.7025240194884759,-0.2040345531900619,-0.4057204558751013,-0.48724705020853337,-0.4977366354507072,-0.4391891261550702,-0.08147001685620416,0.3107650025577459,0.3387241842583952,0.6947453043213341,0.8391353236943591,1.0,0.6675506954837678,0.8410839642483992,0.9009842086777792,0.8737011821228363,0.843519577510155,0.6640405829584451,0.7763637162195263
community,-0.2444809254461566,-0.41507253024248864,-0.6428582796664704,-0.2119748998983458,-0.5119947890733569,-0.15261887693045392,-0.09105844017622937,-0.011465647448048188,-0.026230909762472453,0.08280522662192266,-0.07943468500350875,0.7423503353870133,0.645702389406521,0.6675506954837678,1.0,0.7410135320264901,0.6464851886378539,0.6901611643983888,0.8266943497868453,0.7934368069045735,0.7962227029576462
valuable,-0.24712791551775107,-0.5811264900663569,-0.7913282185033681,-0.2897354900847526,-0.545899352222593,-0.3999697301500942,-0.40503593199819504,-0.33022651526155394,-0.09845272973082982,0.2802546234405659,0.28101096296257716,0.835993162375327,0.6640813572544839,0.8410839642483992,0.7410135320264901,1.0,0.8992677206739043,0.9119452008508342,0.8955564790875455,0.7977454450579539,0.7888017738859149
nachhaltig,-0.2526537223716462,-0.5898038430553931,-0.765376008755539,-0.36868654129745293,-0.4676650298761377,-0.4443311519219948,-0.48807443360196223,-0.41132057469099403,-0.16377670282981302,0.2986421702303068,0.3907192882125679,0.76681561867964,0.7698178067279953,0.9009842086777792,0.6464851886378539,0.8992677206739043,1.0,0.9039155334752894,0.8746161780481444,0.7482999554371007,0.7765970804830972
kompliziert,-0.25525513403425143,-0.5719366854538828,-0.7253159103106832,-0.23852773696435645,-0.512448805652827,-0.42005695789565095,-0.44850945935932474,-0.3656288931347592,-0.06156661158304199,0.2066311098410673,0.3225647709128328,0.7847988820924542,0.7259114707961648,0.8737011821228363,0.6901611643983888,0.9119452008508342,0.9039155334752894,1.0,0.8698543454754726,0.7555953753426916,0.8127745243532974
career,-0.26330829733805755,-0.5913311124764326,-0.7412545144309927,-0.42422946514638454,-0.543490892777637,-0.37778530553748985,-0.3715366327417854,-0.24449865142281813,-0.15710067566866812,0.15896491148637232,0.18279366872343514,0.8375878371697663,0.7676167036965772,0.843519577510155,0.8266943497868453,0.8955564790875455,0.8746161780481444,0.8698543454754726,1.0,0.8149423425290879,0.8501061012267818
TheHero,-0.26596761095096394,-0.33447243352774786,-0.7402223155349068,-0.19141894342748972,-0.5384640714235077,-0.0382643789920057,0.0022087201791422244,0.10007379544312384,0.08250464019284684,0.2781224633765778,0.1222941805851128,0.8795758788755397,0.6063482489767795,0.6640405829584451,0.7934368069045735,0.7977454450579539,0.7482999554371007,0.7555953753426916,0.8149423425290879,1.0,0.8201402883626505
TheRuler,-0.26699987440701284,-0.3562406622389461,-0.5866681789424103,-0.23447440121240692,-0.2724443471784937,-0.1564566482037655,-0.1963668027799259,-0.22742859714685135,0.014657844858003203,0.04555884250594839,0.2380623599591839,0.6881154581960724,0.7877840165774435,0.7763637162195263,0.7962227029576462,0.7888017738859149,0.7765970804830972,0.8127745243532974,0.8501061012267818,0.8201402883626505,1.0
