,success,female,male,family,friendship,traditionell,ugly,untrustworthy,TheCarer,unpleasant,closed,bargain,show,aktiv,electric,innovative,rachel,descriptive,science,performance,technical
closed,0.05646282071366552,0.42262672524366207,0.4477343849320826,0.48585837122035463,0.33983516365558714,0.5974944443051703,0.7373525225698817,0.7604747850380736,0.6103941686987154,0.7322189526465129,1.0,-0.23457914252524104,-0.06775581548308189,0.3721101220852949,0.29315696430178323,0.13363955931263158,0.13363955931263158,0.16593972345070224,0.33007365990296295,-0.352397063239774,0.2263287871017508
bargain,-0.03676077680043755,-0.15493206061175493,-0.25041919885283,-0.2002980437022109,-0.0859021818044204,-0.3316626911187988,-0.22627512098283564,-0.22204752020785434,-0.24330514121455749,-0.2991185551358777,-0.23457914252524104,1.0,-0.2168670064807869,-0.18949986547595551,-0.14171176305182884,-0.1277467256219136,-0.1277467256219136,-0.2781672536599941,-0.3216753596928981,-0.07592904115268918,-0.2188472648404626
show,-0.03982148787755882,0.3563916949976002,0.3188971527503649,0.33787335170623506,0.37893925105890197,0.2711975909139134,0.32359073280004363,0.030153657793679744,0.19969951322323987,0.10153210015738366,-0.06775581548308189,-0.2168670064807869,1.0,0.37282755158519804,-0.3096519730870178,-0.06485568005463593,-0.06485568005463593,0.2948428179112337,0.15908139990342848,0.8435341726203925,-0.09969609070097715
aktiv,-0.041678646158104626,0.262487364912695,0.2532195834385611,0.39272639260202724,0.23199317067234282,0.2960701244513233,0.3660099530399126,0.2033605624658586,0.6105009961109267,0.16544947635805718,0.3721101220852949,-0.18949986547595551,0.37282755158519804,1.0,0.3359941096664532,0.4899960644777768,0.4899960644777768,0.32949048679163406,0.6321298861229488,0.1713594461191091,0.46774396535224877
electric,-0.04222122759776466,-0.3765155692053035,-0.29273618448518757,-0.2506143655948642,-0.34346490856399414,-0.08706681361308907,-0.07081208039644774,0.08707999377647936,0.11589742267703136,-0.03412789864577152,0.29315696430178323,-0.14171176305182884,-0.3096519730870178,0.3359941096664532,1.0,0.5750072741427357,0.5750072741427357,0.2619232549757099,0.5309452223206568,-0.42616011259064096,0.7519659187099175
innovative,-0.04465282200377851,-0.4074699515168995,-0.346812706262399,-0.3160639298614884,-0.44649397623367487,-0.013467518444811885,-0.13436074195229697,-0.11762915759769713,0.04215376067800829,-0.2531676735927031,0.13363955931263158,-0.1277467256219136,-0.06485568005463593,0.4899960644777768,0.5750072741427357,1.0,1.0,0.5020963294920819,0.6542170938185726,-0.20073485226603027,0.8312040600524304
rachel,-0.04465282200377851,-0.4074699515168995,-0.346812706262399,-0.3160639298614884,-0.44649397623367487,-0.013467518444811885,-0.13436074195229697,-0.11762915759769713,0.04215376067800829,-0.2531676735927031,0.13363955931263158,-0.1277467256219136,-0.06485568005463593,0.4899960644777768,0.5750072741427357,1.0,1.0,0.5020963294920819,0.6542170938185726,-0.20073485226603027,0.8312040600524304
descriptive,-0.05727515497404192,-0.280596541906756,-0.22328211080555188,-0.15459770803903947,-0.23675033788076438,0.1172415668931263,0.09294730110272399,0.1761053424013863,0.09533673327077312,-0.12458742808894192,0.16593972345070224,-0.2781672536599941,0.2948428179112337,0.32949048679163406,0.2619232549757099,0.5020963294920819,0.5020963294920819,1.0,0.5110877414915072,-0.01939841353296972,0.527570202255401
science,-0.058119586898759054,-0.022341971188748602,0.0647979179631357,0.13407562109141083,-0.13685550738767188,0.150908243547406,0.1535798217648587,0.18759325887417258,0.4096231518458929,0.186021442893491,0.33007365990296295,-0.3216753596928981,0.15908139990342848,0.6321298861229488,0.5309452223206568,0.6542170938185726,0.6542170938185726,0.5110877414915072,1.0,-0.014437961740331661,0.7315615263030968
performance,-0.06409091206845854,0.22851807082495165,0.18848102400372846,0.1610032751349969,0.28549074207787994,0.02005458390229413,0.061615775632478186,-0.22030130201761608,-0.02936206430225968,-0.046687114949376024,-0.352397063239774,-0.07592904115268918,0.8435341726203925,0.1713594461191091,-0.42616011259064096,-0.20073485226603027,-0.20073485226603027,-0.01939841353296972,-0.014437961740331661,1.0,-0.2844172534609952
technical,-0.06938180258189093,-0.39725297010148164,-0.3037947687536904,-0.25822320050531894,-0.3994294599901809,-0.0762521376303556,-0.08453371470010906,-0.0032597519255073704,0.14410783726208373,-0.14427397206091183,0.2263287871017508,-0.2188472648404626,-0.09969609070097715,0.46774396535224877,0.7519659187099175,0.8312040600524304,0.8312040600524304,0.527570202255401,0.7315615263030968,-0.2844172534609952,1.0
