,success,pleasant,ugly,beautiful,appetitlich,TheExplorer,attractive,warm,indulgent,TheInnocent,design,bargain,performance,collar,names,winner,names,names,names,volkswagen,trust
design,0.12872660165267164,0.529694106376123,0.4033345048339927,0.6601746217922314,0.6101724121562777,0.4809394688671576,0.726094328119139,0.7474111405921929,0.6377293889728285,0.5858668787530099,1.0,-0.19483937362591103,-0.08712706461429713,0.06734993209488455,-0.28902336911708065,-0.22075418830143861,-0.26546226691968916,-0.26039059334643083,-0.2984037106627805,-0.24554330023765897,-0.403348346883429
bargain,-0.005339121532902561,-0.06083231148719727,-0.20478420257057187,-0.08488842427233383,0.02388265717980112,-0.23162807867192764,-0.15302254785348804,-0.22539153195854458,-0.008509718982507516,-0.30036088117076787,-0.19483937362591103,1.0,0.10934606629593134,-0.17739532328811083,-0.12676470022112737,0.0803860472174928,-0.15613319793617356,-0.11264907854370351,-0.17799932633832724,0.11032944871102233,0.07401242512992061
performance,-0.008169877488909003,0.10268929437959846,0.04432212102948143,0.19637998431364523,0.16784383762042937,0.1404451558085136,0.04688132710489327,0.018287872079743063,0.013092412875397598,-0.011516804374668194,-0.08712706461429713,0.10934606629593134,1.0,-0.132253748134002,0.5554314563825402,0.5628467932005231,0.27693529093006397,0.58146825818239,0.4895398222964937,-0.04505225097954373,0.0641322745351231
collar,-0.016280217105777445,0.12550508364773102,0.1380907123403848,0.01341097081960613,0.0181054479523223,0.19551706520240686,0.09438699665894833,0.05477328485108814,0.10299607281531467,0.10593632527327324,0.06734993209488455,-0.17739532328811083,-0.132253748134002,1.0,0.010778599326121626,-0.015989596110390913,-0.25895631935113667,-0.22260059337818144,-0.16529753376128792,0.11042926745354065,-0.34363962192170167
names,-0.027580223378203792,0.1276290386622816,0.10971888578684107,0.139000082177585,0.07752194598029279,0.06879777208387337,-0.06738076958835133,-0.08677623733086373,-0.12772941923311706,0.02278887035754718,-0.28902336911708065,-0.12676470022112737,0.5554314563825402,0.010778599326121626,1.0,0.6436023375029417,0.40324283380267795,0.764335722803519,0.6254443515317861,-0.03788161507770959,-0.037792375484950506
winner,-0.031145001122505334,0.18564597025215465,0.1555503162458997,0.196420652853643,0.17030648887488795,0.2859746148771204,0.09497325406885654,0.027029605836047122,0.0404094554295105,0.16045157028374582,-0.22075418830143861,0.0803860472174928,0.5628467932005231,-0.015989596110390913,0.6436023375029417,1.0,0.29230448845561446,0.5445632124025915,0.47914771262852496,-0.061007398020014446,-0.12715918369202803
names,-0.03203861223911279,-0.25221313616185864,-0.11159962367557408,-0.1921524585381025,-0.3236808540803027,-0.20874496661148895,-0.3627487678628037,-0.2831727559027161,-0.3385962728656724,-0.20594600711058808,-0.26546226691968916,-0.15613319793617356,0.27693529093006397,-0.25895631935113667,0.40324283380267795,0.29230448845561446,1.0,0.7305833389448084,0.7887713737725047,0.3920306364899789,0.44964058362817994
names,-0.03214674058700705,-0.047952802824363094,-0.0033661945921215535,0.05462285758162649,-0.06132077027496908,-0.02321430857807535,-0.17053399373142758,-0.16632131372318693,-0.23139953220394072,-0.06517654365308832,-0.26039059334643083,-0.11264907854370351,0.58146825818239,-0.22260059337818144,0.764335722803519,0.5445632124025915,0.7305833389448084,1.0,0.885328755705787,0.14342078910829906,0.24219757657081958
names,-0.06307592791569779,-0.17813814940936853,-0.07937601258579276,-0.09102929009491494,-0.19891987228133146,-0.09111667469915412,-0.26469261319195536,-0.22930742935224066,-0.2768203034208107,-0.14341193503896615,-0.2984037106627805,-0.17799932633832724,0.4895398222964937,-0.16529753376128792,0.6254443515317861,0.47914771262852496,0.7887713737725047,0.885328755705787,1.0,0.2109848920168606,0.3439938550676445
volkswagen,-0.09210919227886678,-0.4775312326174114,-0.4429961950504785,-0.46571890930220994,-0.4865842199836832,-0.47135175992781775,-0.5270565610360088,-0.5202786551784655,-0.38394852361943216,-0.5069684189266163,-0.24554330023765897,0.11032944871102233,-0.04505225097954373,0.11042926745354065,-0.03788161507770959,-0.061007398020014446,0.3920306364899789,0.14342078910829906,0.2109848920168606,1.0,0.4923686854771335
trust,-0.11677568841993406,-0.7358744271730498,-0.6867526698917448,-0.6276208059386164,-0.6468233651146413,-0.6823512821021609,-0.6940077633688606,-0.6918478546124321,-0.6499857669093907,-0.712503060582888,-0.403348346883429,0.07401242512992061,0.0641322745351231,-0.34363962192170167,-0.037792375484950506,-0.12715918369202803,0.44964058362817994,0.24219757657081958,0.3439938550676445,0.4923686854771335,1.0
