,success,weapon,volkswagen,below,expensive,collar,valuable,ugly,closed,pleasant,big,names,aktiv,protective,science,unsustainable,names,TheHero,names,descriptive,culture
big,0.6626772120338309,0.6451675293018336,0.5099842330697897,0.6229234442649192,0.9544772285010964,0.17702913837130022,0.799981193397386,0.7492269402954032,0.7316884973404049,0.7079340450754076,1.0,0.3548841978119656,-0.056934504052612786,-0.27068466233521293,-0.23238567325965953,0.21158699692404767,0.06359447210928083,0.07325732344310032,-0.6166896498929715,-0.2860792800917075,0.07982994644639
names,-0.4176093062211207,-0.20009411937097846,-0.30744015822532106,-0.15934666924322513,0.08601584387319758,-0.5993780057020804,0.06037771506046362,0.09328110329260081,0.15559314141825664,0.06787981795037734,0.3548841978119656,1.0,0.3836180515550261,0.29545927220242996,0.6210686460989886,0.895152145774087,0.9392070452977284,0.9425446371377978,0.17931306236992414,0.519228078196513,0.7900343724479265
aktiv,-0.47635965354770116,-0.520662777493541,-0.5599202145121251,-0.6355452763178596,-0.059268541114288996,-0.5365578457399238,-0.37450929966841134,-0.45892218077762936,-0.5110118228491537,-0.5091621162090855,-0.056934504052612786,0.3836180515550261,1.0,0.31772416183877894,0.22868947127372125,0.5547832349374143,0.4231148807014118,0.38930391707971707,0.18843834618882524,0.8031916910750868,0.684239838015526
protective,-0.4830416705593809,-0.30312638525858976,-0.7445399791987146,-0.04625255108568598,-0.3366153151318178,0.04020332391650865,0.06896176651005421,0.09816400408327837,0.026257699898099802,0.11948558792507971,-0.27068466233521293,0.29545927220242996,0.31772416183877894,1.0,0.6430752207771143,0.5976467472355029,0.31678715969962545,0.5343335111109871,-0.13622857123269588,0.5322694954087137,0.1750318222271823
science,-0.5439686803423478,-0.1588630056584284,-0.37930038369214686,-0.14236062295119015,-0.4310837851799338,-0.17568874488084324,-0.1764804431065927,-0.042770241610428965,0.07563539718009386,-0.10325802298329255,-0.23238567325965953,0.6210686460989886,0.22868947127372125,0.6430752207771143,1.0,0.571263057700789,0.7755760969536973,0.8069880278519824,0.465401823662307,0.7367509200944546,0.28593047865150956
unsustainable,-0.5509868499838669,-0.4084605023882712,-0.6406842030875459,-0.24814894563722134,-0.00377914071012503,-0.5794472746573268,0.056591058813105194,0.0435461322018526,0.013745959223777892,0.05533195188001744,0.21158699692404767,0.895152145774087,0.5547832349374143,0.5976467472355029,0.571263057700789,1.0,0.8103588464302327,0.9096389026725408,-0.012775563258795348,0.5856633224166746,0.8240673607894666
names,-0.6075202397008287,-0.33868432354459344,-0.3735742564037746,-0.3617144176638353,-0.2050570084999175,-0.6610634233138246,-0.2292503869700677,-0.16044353948084775,-0.05305483796522375,-0.20140160095138426,0.06359447210928083,0.9392070452977284,0.4231148807014118,0.31678715969962545,0.7755760969536973,0.8103588464302327,1.0,0.958319834015608,0.4864072186475119,0.6881274585231079,0.7652423701841109
TheHero,-0.617830801923539,-0.34519246206464427,-0.5106381162372237,-0.2542865774274075,-0.195314771580287,-0.5683028919340997,-0.08291901292987616,-0.021113526464799012,0.04178372358576505,-0.03672227283613544,0.07325732344310032,0.9425446371377978,0.38930391707971707,0.5343335111109871,0.8069880278519824,0.9096389026725408,0.958319834015608,1.0,0.2949658253008207,0.6517027149760336,0.734132679520724
names,-0.6271978900657734,-0.47123091807652656,-0.14670686597329802,-0.6927953682162893,-0.7181922193431102,-0.5278841607437056,-0.8610426540795643,-0.7645326307428058,-0.5986458500437847,-0.8102130144036348,-0.6166896498929715,0.17931306236992414,0.18843834618882524,-0.13622857123269588,0.465401823662307,-0.012775563258795348,0.4864072186475119,0.2949658253008207,1.0,0.5140682339294614,0.2796089278763532
descriptive,-0.6485738090186935,-0.4516414850311425,-0.5562504045278754,-0.5720939420056129,-0.37920926454414905,-0.43755590116191534,-0.4703805263864958,-0.43844514712550287,-0.3850453493267128,-0.519807761131746,-0.2860792800917075,0.519228078196513,0.8031916910750868,0.5322694954087137,0.7367509200944546,0.5856633224166746,0.6881274585231079,0.6517027149760336,0.5140682339294614,1.0,0.5530448426045741
culture,-0.6584790506096175,-0.6577418730582129,-0.5837794859692751,-0.6368371558328664,-0.10404251938801934,-0.9183717319304566,-0.33473542662666406,-0.3886718947574666,-0.4019782150739168,-0.3710682987873203,0.07982994644639,0.7900343724479265,0.684239838015526,0.1750318222271823,0.28593047865150956,0.8240673607894666,0.7652423701841109,0.734132679520724,0.2796089278763532,0.5530448426045741,1.0
