,success,evaluating,restrictive,unnatürlich,outside,uncool,small,closed,kompliziert,math,unwirksam,arts,names,collar,names,names,instrument,show,names,winner,performance
unwirksam,0.09444876538774802,0.497930067389865,0.7770102125361805,0.5696174711273317,0.5376711741287153,0.8362862890212123,0.6927362015505371,0.8493839121462372,0.7539196283902779,0.5094586552773602,1.0,-0.008978666999251525,-0.2750949191861127,0.22541570473643682,-0.2386419906324949,-0.34556791410758403,-0.10095808877328484,-0.13534197064715828,-0.2558746937385186,0.007328884006390296,-0.42373436749217086
arts,-0.051362533246349144,-0.09641771640769413,-0.1620229401088036,-0.1447013313731665,-0.17629245847005662,-0.010191484069869883,-0.06586926083361809,0.1740969113427976,0.15558524327104378,0.1418411259029131,-0.008978666999251525,1.0,0.13010905620328236,-0.05178978625992002,0.2949373672085848,0.472276015572766,0.5056876769628195,0.8180424136985901,0.4984160480881668,0.38742100498312143,0.5437435378630443
names,-0.052972020710639854,-0.3725688918662694,-0.23703466129644046,-0.14142551471225878,-0.37226275845435763,-0.26880880667592366,-0.39127776764281214,-0.2590908597001449,-0.4288066800181643,-0.3081392399386024,-0.2750949191861127,0.13010905620328236,1.0,-0.12667428246393153,0.8154565210691205,0.7345692304386741,0.2817945924594927,0.1826487597134383,0.3847524432878733,0.30409733899186664,0.31761976177900897
collar,-0.05557362264051593,0.059058384211916004,0.08403097073306494,0.14626101779819556,0.19183172822586986,0.21565506269441514,0.1280849948135457,0.1755617135822844,0.17624225840262128,0.1330078208921593,0.22541570473643682,-0.05178978625992002,-0.12667428246393153,1.0,-0.017985566764653984,-0.06437899031903661,0.07970313191458274,-0.046011240193535294,0.09122992717897468,0.08263203359429726,-0.0870226880658736
names,-0.07765109101420749,-0.37886780016452476,-0.3579991890884154,-0.26443767261692314,-0.45728898206721585,-0.3256661109792203,-0.49019534789855335,-0.2949168820189725,-0.349775017927027,-0.2515778313158245,-0.2386419906324949,0.2949373672085848,0.8154565210691205,-0.017985566764653984,1.0,0.8995113053202616,0.2954141316639975,0.3988860177546918,0.6281897853771141,0.49815998540311834,0.503813825490843
names,-0.07953382356557641,-0.4310049517476145,-0.4993876246380211,-0.3905659084468523,-0.5604030328299346,-0.4265111998075488,-0.5705814084076624,-0.35257829992017947,-0.3845257217145415,-0.22440132748353253,-0.34556791410758403,0.472276015572766,0.7345692304386741,-0.06437899031903661,0.8995113053202616,1.0,0.345942983462738,0.5055572622101431,0.7730985794543702,0.5694343985502928,0.5753900891795314
instrument,-0.08454565083764684,-0.19309430892593615,-0.00018804768246288172,-0.010697326269977391,-0.07671890133828156,0.06840049335437526,-0.04237952426113815,0.03545524734797652,-0.05356242503226484,-0.04357905455890599,-0.10095808877328484,0.5056876769628195,0.2817945924594927,0.07970313191458274,0.2954141316639975,0.345942983462738,1.0,0.4901342139024877,0.31934772472800765,0.1595547102157598,0.32421954733224717
show,-0.09068264080724836,-0.15761831811631502,-0.2972287560102802,-0.21640480795853223,-0.25884940327132583,-0.103753758899407,-0.18122744468431273,-0.031091618834890204,0.066213594856912,-0.024438519858271307,-0.13534197064715828,0.8180424136985901,0.1826487597134383,-0.046011240193535294,0.3988860177546918,0.5055572622101431,0.4901342139024877,1.0,0.4876091597760587,0.44398324226521546,0.808328912426748
names,-0.10516694983678064,-0.36494379046406555,-0.49358627202210287,-0.45594754303230906,-0.5188569351843793,-0.37530786808883915,-0.49795755212493575,-0.26620614503821494,-0.28978489008797426,-0.07298903583995034,-0.2558746937385186,0.4984160480881668,0.3847524432878733,0.09122992717897468,0.6281897853771141,0.7730985794543702,0.31934772472800765,0.4876091597760587,1.0,0.6303485178196058,0.5471455859246894
winner,-0.1061066301883626,-0.09778124368527226,-0.3258063886745399,-0.3617296178229194,-0.4455682078398108,-0.21008232152304157,-0.3379036207060813,-0.10173641343942913,-0.13094618654407444,0.12235087951412946,0.007328884006390296,0.38742100498312143,0.30409733899186664,0.08263203359429726,0.49815998540311834,0.5694343985502928,0.1595547102157598,0.44398324226521546,0.6303485178196058,1.0,0.5643028055737036
performance,-0.1489233160619103,-0.4118975903028876,-0.519397244637397,-0.49404871440873155,-0.5142936847206142,-0.400291385314612,-0.5064409502670473,-0.3993952637539877,-0.3680906663445563,-0.26891473516514,-0.42373436749217086,0.5437435378630443,0.31761976177900897,-0.0870226880658736,0.503813825490843,0.5753900891795314,0.32421954733224717,0.808328912426748,0.5471455859246894,0.5643028055737036,1.0
