,success,traditionell,teaching,names,dead,family,math,female,TheRebel,altmodisch,names,small,nachhaltig,indulgent,big,inside,trendy,outside,expensive,bargain,electric
names,0.03562577992095786,0.25525682143928374,0.0096556279187606,0.7303565337525502,-0.24793819608601148,0.3051383753469597,-0.2068889481846956,0.42143053848152795,0.4024848476659168,0.3950301624076704,1.0,-0.5853127804186274,-0.423548069565061,-0.14681962039941177,-0.24128205756378154,-0.5488478811602627,0.10246715232957791,-0.5939817008972164,-0.2973586193009009,-0.20096124323426043,-0.5985933196680968
small,-0.029485176359126796,0.3287624890208605,0.3838972674114741,-0.3824378603555873,0.5713027604791485,0.10645823119910962,0.3689678454352593,-0.0015705714499747562,0.21264683686350874,-0.07725262986218089,-0.5853127804186274,1.0,0.7831321927673083,0.5291931770417975,0.7497430941792451,0.7372515366104119,0.38657984756820557,0.7487555060139359,0.6323857039268594,-0.06523685850416473,0.6107459689428448
nachhaltig,-0.02964122429540075,0.3231792270256311,0.5957249105562067,-0.42844913430774506,0.6172849113246421,0.31751298255944777,0.5060591367936745,0.18543375524409,0.40897489156810707,-0.29401594525976743,-0.423548069565061,0.7831321927673083,1.0,0.4448048129454499,0.7274511682478587,0.704679099937379,0.3969282983127197,0.6151132373973647,0.5602148311487686,-0.10686588599058293,0.42940765721019475
indulgent,-0.03050947716053011,0.43915938200534405,0.26421695980718357,-0.21653871593215235,0.43104089722870914,0.30454516459270453,0.0722900622232197,0.32189706695125847,0.3156226443995972,0.26281061344320134,-0.14681962039941177,0.5291931770417975,0.4448048129454499,1.0,0.6726457652559378,0.3865104344684131,0.6220906898476631,0.32794515231111077,0.619296390183407,-0.016569624274890296,0.1318015509278123
big,-0.03377047097563425,0.46853917827808855,0.47750075780908363,-0.25877249718413076,0.6002666873754025,0.33063047120415356,0.3468325765269429,0.26533492901914524,0.4722091831207436,0.049412872845809634,-0.24128205756378154,0.7497430941792451,0.7274511682478587,0.6726457652559378,1.0,0.636067389953948,0.5592937901122208,0.5798225307637466,0.6958348270817328,-0.15047202489329098,0.3155055335408914
inside,-0.03553237384352815,0.1619068814443098,0.3256745720637477,-0.4416138454582661,0.49034115535109324,0.055065581680644564,0.39894275354922926,-0.05285560315666713,0.17583259423038813,-0.21555881603287078,-0.5488478811602627,0.7372515366104119,0.704679099937379,0.3865104344684131,0.636067389953948,1.0,0.12389892895597221,0.8952673104760138,0.5203581216902659,-0.19671332317807674,0.6222905080399236
trendy,-0.03705651671807466,0.5257692321830155,0.424644504483311,-0.006257731237686633,0.3897250788646725,0.32967132056160114,0.039163102710499754,0.3342280274479146,0.43969734934117527,0.5190937017455589,0.10246715232957791,0.38657984756820557,0.3969282983127197,0.6220906898476631,0.5592937901122208,0.12389892895597221,1.0,0.11541536267460126,0.5863852441283683,-0.050899816135736936,0.07670490808328748
outside,-0.04222346527390176,0.10013846713088737,0.2401312816141104,-0.3997717107616357,0.3668413431812855,-0.05983045562833039,0.32515163027277627,-0.15228957453343972,0.052813025886212,-0.18698742397166854,-0.5939817008972164,0.7487555060139359,0.6151132373973647,0.32794515231111077,0.5798225307637466,0.8952673104760138,0.11541536267460126,1.0,0.5431420134941345,-0.11263567605321383,0.644494532362164
expensive,-0.04227861264597686,0.3352457483452652,0.2740852482370472,-0.3127244403566949,0.4203333788075028,0.17718710217228625,0.049338113472351515,0.11192309928065734,0.2934930831264556,0.1531954147855796,-0.2973586193009009,0.6323857039268594,0.5602148311487686,0.619296390183407,0.6958348270817328,0.5203581216902659,0.5863852441283683,0.5431420134941345,1.0,0.06291097242318285,0.3704942903567852
bargain,-0.05478144384879617,-0.2940524742298897,-0.326113602268757,-0.2055308971377122,-0.27771851619722066,-0.1952576870389163,-0.13968422687836038,-0.14995068864655786,-0.414345428100224,-0.17241197178387288,-0.20096124323426043,-0.06523685850416473,-0.10686588599058293,-0.016569624274890296,-0.15047202489329098,-0.19671332317807674,-0.050899816135736936,-0.11263567605321383,0.06291097242318285,1.0,-0.12737537118652215
electric,-0.05518358206160596,-0.1069890254433479,0.12732206505050275,-0.4153147562758811,0.26051691864396836,-0.29181815520304927,0.14304322713256307,-0.4108550835323548,-0.09898854110196086,-0.09671867119645107,-0.5985933196680968,0.6107459689428448,0.42940765721019475,0.1318015509278123,0.3155055335408914,0.6222905080399236,0.07670490808328748,0.644494532362164,0.3704942903567852,-0.12737537118652215,1.0
