,success,below,protective,restrictive,unwirksam,cold,unnatürlich,uncool,weapon,bargain,inside,aktiv,music,winner,community,names,performance,culture,arts,arts,show
inside,0.0513262141735917,0.7352785355165222,0.8021785516406492,0.6985972184869527,0.7081874675174417,0.7183253196340538,0.6787310128504285,0.736281796649538,0.43183881895510434,-0.2545989453345568,1.0,0.41822776898537306,-0.023376618678570004,-0.21651960378864996,0.3771720517937839,-0.43018172072233557,-0.4094439031426041,0.22197141220731403,0.002627121175387106,0.002627121175387106,-0.11175379440808543
aktiv,-0.06056337533306309,0.15823674462975668,0.43877435367707057,0.23502102390514765,0.4229594375956053,0.6430284753193775,0.2340790791116092,0.43857933412506017,-0.05984610054019108,-0.24695354422631638,0.41822776898537306,1.0,0.2663215089557116,0.18622651025592407,0.6317228743861707,0.04660713116739016,0.11357763951618455,0.6666085578994936,0.4486824909485508,0.4486824909485508,0.4077681761600118
music,-0.07029559147936058,-0.01898170532208637,-0.1632491203878882,0.08534402594380779,0.05332627563569414,0.14758594132656122,0.0365601076545398,0.16498699256571872,0.1934083976790665,-0.2280759689062726,-0.023376618678570004,0.2663215089557116,1.0,0.35768841852707367,0.15708458712048531,0.31459888979120026,0.5479841953925639,0.46800605664112216,0.6168095174933356,0.6168095174933356,0.6825761597337403
winner,-0.0741404611713611,-0.2093842190270506,-0.3054581394448413,-0.25880471681496514,0.047758341591468995,-0.1450173078600373,-0.30583489425438837,-0.1500744227921322,-0.0730749691084782,-0.009646169524422512,-0.21651960378864996,0.18622651025592407,0.35768841852707367,1.0,0.2708841792338121,0.5482730169779441,0.5113328417213879,0.4247325818132538,0.4476351769185456,0.4476351769185456,0.4699147016652711
community,-0.07644443222137091,0.11007257854848725,0.2597994243709744,0.1074920329348343,0.37382649783798844,0.34441481734467205,0.16395010326040652,0.20358671244050403,-0.15353563423927313,-0.256033397241132,0.3771720517937839,0.6317228743861707,0.15708458712048531,0.2708841792338121,1.0,0.0743847622740845,0.09819338758543243,0.7076387601951301,0.4369594997478706,0.4369594997478706,0.3244065133069563
names,-0.0834861206606779,-0.42952753290986095,-0.4557377689282625,-0.486223403986916,-0.30824862570623524,-0.35327143280282247,-0.4323976660423848,-0.39363353934950696,-0.17703186513954816,-0.24355240435545905,-0.43018172072233557,0.04660713116739016,0.31459888979120026,0.5482730169779441,0.0743847622740845,1.0,0.4973726583871991,0.29744567500598834,0.4680476574700711,0.4680476574700711,0.4464647691575103
performance,-0.09763700997685487,-0.47303592495755153,-0.42670175436979124,-0.4816429789565494,-0.39044051822940373,-0.2944854129467691,-0.4210974072953864,-0.3691786802262233,-0.22291340903335444,-0.011877729074001144,-0.4094439031426041,0.11357763951618455,0.5479841953925639,0.5113328417213879,0.09819338758543243,0.4973726583871991,1.0,0.48168868042274987,0.5267492174648218,0.5267492174648218,0.8170273706986213
culture,-0.09881879477744784,-0.07269181483076283,0.07732784307623367,-0.08403491357548697,0.13061951383909065,0.31523562209464756,-0.006602879360030401,0.09087989778371541,-0.15874628250214107,-0.23151713993123327,0.22197141220731403,0.6666085578994936,0.46800605664112216,0.4247325818132538,0.7076387601951301,0.29744567500598834,0.48168868042274987,1.0,0.7908356032237306,0.7908356032237306,0.7026674291368291
arts,-0.1033730453812445,-0.051321774961513335,-0.12307076507800778,-0.11463837383005995,0.046554765618572025,0.10639011872256784,-0.08090302237812574,0.028321951057169108,-0.0179523823564076,-0.23897946826462857,0.002627121175387106,0.4486824909485508,0.6168095174933356,0.4476351769185456,0.4369594997478706,0.4680476574700711,0.5267492174648218,0.7908356032237306,1.0,1.0,0.7955449219436799
arts,-0.1033730453812445,-0.051321774961513335,-0.12307076507800778,-0.11463837383005995,0.046554765618572025,0.10639011872256784,-0.08090302237812574,0.028321951057169108,-0.0179523823564076,-0.23897946826462857,0.002627121175387106,0.4486824909485508,0.6168095174933356,0.4476351769185456,0.4369594997478706,0.4680476574700711,0.5267492174648218,0.7908356032237306,1.0,1.0,0.7955449219436799
show,-0.10784942188296351,-0.2099389108168618,-0.14777315830576443,-0.23865637483900712,-0.07666667064318515,0.057715924434072086,-0.14405663661008825,-0.06228190662099638,-0.12575520408284863,-0.19239677078585507,-0.11175379440808543,0.4077681761600118,0.6825761597337403,0.4699147016652711,0.3244065133069563,0.4464647691575103,0.8170273706986213,0.7026674291368291,0.7955449219436799,0.7955449219436799,1.0
