,success,electric,altmodisch,volkswagen,trust,unkompliziert,instrument,traditionell,design,basic,traditional,stable,TheLover,teaching,blunt,performance,TheRuler,TheHero,new,math,see
traditional,0.006409431592836509,0.30778016034862854,0.6184150339249925,-0.1919097925247087,-0.3428771401835691,0.5485739302505108,0.3381015943052754,0.6060060719814,0.7413272671864785,0.3189019814101624,1.0,0.4637131006740744,0.3716748468733377,0.3972831826980724,0.2926548296924228,0.11257724850178806,0.27698303327130347,0.3493630766036185,0.5176346888929964,0.13496098494074915,0.36994506584414705
stable,-0.0339107696132584,0.3703309181205666,-0.10972682955414399,-0.4093251713114083,-0.6598426292885996,0.8037656263451893,0.018869861450099626,0.4338345411311968,0.5955606962839829,0.2945565107784205,0.4637131006740744,1.0,0.6487942342448262,0.6070188085372258,0.8474026064413369,-0.2170701163953772,0.5158636515061481,0.661878587319596,0.5755274796945401,0.354643588081002,0.41388670083876494
TheLover,-0.034348829892104596,-0.030560866652799577,-0.013822770317701509,-0.4229164144193533,-0.5400718800862965,0.4380581866624262,0.17065629100527888,0.5049668767875959,0.36870115609026255,0.2100220791012185,0.3716748468733377,0.6487942342448262,1.0,0.7530700477462403,0.8266580930448101,0.176276460712583,0.6924436654803595,0.8782544720913151,0.4611464377806386,0.312259932811719,0.5524981136670803
teaching,-0.03469492085656074,0.17304591563294885,-0.07764637642206024,-0.4630213038476461,-0.5167155118608412,0.42509558394464825,0.1146195025952244,0.4552322183302208,0.31299918974244223,0.06979033022594043,0.3972831826980724,0.6070188085372258,0.7530700477462403,1.0,0.6559050782648027,0.029752044811504817,0.6661141785201453,0.7436933243476052,0.4285693306426112,0.6003926407893009,0.47383068692648556
blunt,-0.036897529555252224,0.11232777523821781,-0.17283476174422532,-0.4108178931789175,-0.6345981325552866,0.5983861199840902,0.01086429636094676,0.4917924054541995,0.3515136768611643,0.2670805290812386,0.2926548296924228,0.8474026064413369,0.8266580930448101,0.6559050782648027,1.0,-0.0523513854712456,0.6364681258862569,0.8306384467209301,0.5204552790893662,0.37213105179034023,0.5231670710557734
performance,-0.039884098711599904,-0.35470907535678453,0.27834895022752576,-0.044613208307199434,0.09041893397825801,-0.33379001139887593,0.4055608671948405,-0.007726131278028446,-0.07353689238910466,0.081094806253991,0.11257724850178806,-0.2170701163953772,0.176276460712583,0.029752044811504817,-0.0523513854712456,1.0,-0.059379513021990064,0.2470459754018653,0.05810344136779643,-0.26014578723062237,0.4808797477307804
TheRuler,-0.03996944622135346,0.20080977923577545,-0.18100929465773002,-0.2444438347816851,-0.30215047849108,0.3491695635542085,-0.04103192762116063,0.36101306214608986,0.315807199905615,-0.185079194113323,0.27698303327130347,0.5158636515061481,0.6924436654803595,0.6661141785201453,0.6364681258862569,-0.059379513021990064,1.0,0.7508516267928577,0.44761058419099253,0.4755199337306655,0.2596847480483231
TheHero,-0.040883569943347846,-0.010507336318771297,-0.07921616000026743,-0.38451067381454135,-0.5292871871931901,0.41274257282352766,0.11929317737726039,0.44286131286160085,0.3124943295601931,0.11577780435033196,0.3493630766036185,0.661878587319596,0.8782544720913151,0.7436933243476052,0.8306384467209301,0.2470459754018653,0.7508516267928577,1.0,0.5449429840318326,0.39441565652356797,0.5904861493706473
new,-0.04398890297836038,0.2547216326995654,0.1644069746697921,-0.14656088652142077,-0.3969560037155301,0.42969454227070214,-0.051648838363165334,0.435490055517245,0.44283937889310315,0.13823701560129803,0.5176346888929964,0.5755274796945401,0.4611464377806386,0.4285693306426112,0.5204552790893662,0.05810344136779643,0.44761058419099253,0.5449429840318326,1.0,0.14197430366188407,0.38331862852453125
math,-0.05009928195187763,0.17295223024217482,-0.3037545930311863,-0.2740960669123403,-0.3877297968899818,0.24979147082861433,-0.03861518334295967,0.2080939141829994,0.06351844226592634,-0.08269708813925468,0.13496098494074915,0.354643588081002,0.312259932811719,0.6003926407893009,0.37213105179034023,-0.26014578723062237,0.4755199337306655,0.39441565652356797,0.14197430366188407,1.0,0.20931370971764382
see,-0.05098129301230874,-0.16216237670341868,0.14717653600233943,-0.41657608202450275,-0.5436530752317312,0.31477202010975314,0.27090727173321777,0.41882160383798606,0.21795346467306975,0.2961462213915358,0.36994506584414705,0.41388670083876494,0.5524981136670803,0.47383068692648556,0.5231670710557734,0.4808797477307804,0.2596847480483231,0.5904861493706473,0.38331862852453125,0.20931370971764382,1.0
