,success,altmodisch,basic,ugly,traditionell,pleasant,beautiful,cool,natürlich,lustig,cheap,responsible,TheSage,performance,descriptive,collar,names,evaluating,TheHero,TheRuler,winner
cheap,0.0505793292655095,0.12576541582598016,0.4785040631970665,0.7935456417562367,0.5756900059520578,0.7333215611549099,0.7362870812529746,0.7623101652237294,0.7303947723761662,0.5202913382442376,1.0,0.5080069209983695,0.426236201764028,-0.2586397562863346,0.2137066865690311,0.21036674188600366,-0.3305304197897434,0.41101754501011944,0.48757070064786423,0.3584744580929804,-0.051523762901793335
responsible,-0.053521328750253214,-0.3761988207982016,-0.09769766436093202,0.3243764692137471,0.29391860140258286,0.1841233160928902,0.12452572013737266,0.3074703403334423,0.4397806590880264,0.06324198961450718,0.5080069209983695,1.0,0.6840800012125129,-0.43322918697916163,0.44085276206957086,0.4118437004006595,-0.3098079177028724,0.7239784090156501,0.521205126490654,0.762775990582287,-0.09656081671543017
TheSage,-0.05759162809088497,-0.11373196117896055,-0.13491137341225837,0.3508634793395791,0.41441251552420877,0.2857875707602101,0.24222330508696108,0.24610776261121284,0.43072686936357873,0.31414553633696013,0.426236201764028,0.6840800012125129,1.0,-0.08663249253597813,0.5576873723968673,0.7041746833804976,-0.011550861852188453,0.5562393891326429,0.7524814400634161,0.8240470956318349,0.12981297769914127
performance,-0.05853236161113067,0.2733104606644384,0.04967049801359689,0.0027664824461440963,-0.021283328644038813,0.061208786808320065,0.1499126471914652,-0.18633546558069355,-0.28816305054573815,0.3220862205287371,-0.2586397562863346,-0.43322918697916163,-0.08663249253597813,1.0,-0.17755800224928409,0.0866069589697932,0.5236812712121297,-0.4638686075829944,0.23826295259573693,-0.16528724458813443,0.6117821945777562
descriptive,-0.059814322288584874,0.0876741154568757,-0.2507103184873787,0.1219837353892309,0.15161893593228376,-0.058158581036258726,0.09189027326567656,0.11460990987394888,0.29450445920588314,0.15199928969790083,0.2137066865690311,0.44085276206957086,0.5576873723968673,-0.17755800224928409,1.0,0.09169625438987737,-0.285076684404761,0.624112306579085,0.24783884228403144,0.48757121598094916,-0.2699622490104904
collar,-0.06032014280771406,-0.061734273824735314,-0.11352252241123634,0.2533630679102971,0.3080326753999214,0.24643271884262183,0.1966215086963507,0.03783197068164217,0.1256191905253975,0.27035593027569127,0.21036674188600366,0.4118437004006595,0.7041746833804976,0.0866069589697932,0.09169625438987737,1.0,0.24076133903729066,0.16011884310063634,0.5964964085161772,0.5090434279141905,0.32811770083156294
names,-0.06401055407233709,0.2594223031893147,0.03220611010621317,-0.07974980882838378,0.13643088673414364,-0.10615749877250603,-0.03183520554989847,-0.28661655810930853,-0.3033553774974295,0.11506229028473926,-0.3305304197897434,-0.3098079177028724,-0.011550861852188453,0.5236812712121297,-0.285076684404761,0.24076133903729066,1.0,-0.4094879048011578,0.15424372452757215,-0.01350838813713443,0.5529484311132514
evaluating,-0.06402220568824012,-0.2352557326563466,-0.15229142991200514,0.1938464243276351,0.19400837242457988,-0.028172248828226942,0.04383324860024762,0.21682885678329022,0.4060642625183176,-0.03282548744337392,0.41101754501011944,0.7239784090156501,0.5562393891326429,-0.4638686075829944,0.624112306579085,0.16011884310063634,-0.4094879048011578,1.0,0.2981607637369445,0.5923830732376432,-0.18054598274348027
TheHero,-0.07236872962937024,-0.10106490724630095,0.13996820174418842,0.4877764337963366,0.45388683875323294,0.5268125538050544,0.4738358669362402,0.42388135882517003,0.4120878960886024,0.4526790013132133,0.48757070064786423,0.521205126490654,0.7524814400634161,0.23826295259573693,0.24783884228403144,0.5964964085161772,0.15424372452757215,0.2981607637369445,1.0,0.7288176700844536,0.5795630527577178
TheRuler,-0.08582612149408922,-0.2065539266941604,-0.12924453122622437,0.1854268304646842,0.37005505651815945,0.1788838207986883,0.145540225188342,0.25024224185023025,0.42609284156586674,0.052332310459135056,0.3584744580929804,0.762775990582287,0.8240470956318349,-0.16528724458813443,0.48757121598094916,0.5090434279141905,-0.01350838813713443,0.5923830732376432,0.7288176700844536,1.0,0.15191319261946423
winner,-0.09311942722644063,0.036866299872947116,0.12881934733887895,0.14883580443104408,0.17223775630363813,0.1895412189438272,0.18974585206852648,-0.08954435457864351,-0.16717775118369574,0.279857849225708,-0.051523762901793335,-0.09656081671543017,0.12981297769914127,0.6117821945777562,-0.2699622490104904,0.32811770083156294,0.5529484311132514,-0.18054598274348027,0.5795630527577178,0.15191319261946423,1.0
