,success,TheRuler,traditional,TheCreator,TheInnocent,trendy,TheWizard,modern,modern,TheHero,design,basic,bad,children,names,names,collar,collar,names,bargain,trust
design,0.0859863549445467,0.3795799889520354,0.7386531439559811,0.6219391531425189,0.5840101611114501,0.6709825109547756,0.4829690462366478,0.5710180915788382,0.5710180915788382,0.36054886781277196,1.0,0.29503883435458117,0.3079747757522998,0.19449241484371957,-0.24022238806467594,-0.17171932191658734,0.09856540504166192,0.03835389065805503,-0.274807531839464,-0.1740750380397127,-0.3523398235152035
basic,0.004391782210311404,-0.18316497228109813,0.3205542990131835,0.13684131535329494,0.3856131712980064,0.35262730651806495,0.19679417427904475,0.06246206409811129,0.06246206409811129,0.15434843691649847,0.29503883435458117,1.0,0.4001132669127452,0.4722043361592304,0.04838086774015289,0.12442410772040062,-0.11579465743892407,-0.11486235565143212,0.16653777056617217,0.005436133238028435,-0.3918937967414727
bad,0.003753304079198092,0.386661649298841,0.32934190754720705,0.48710492707226705,0.724702076311999,0.3597462892910004,0.617973558245227,0.4065835379092322,0.4065835379092322,0.5573311931941849,0.3079747757522998,0.4001132669127452,1.0,0.5321756745655731,-0.04498134151600872,-0.01818269529421566,0.3309829263792871,0.18424243455482262,-0.010936479410222242,-0.25723558607397184,-0.5948429119086296
children,0.003365418603744672,0.15421285398489545,0.23552512054846308,0.43192770218738913,0.6205209796511321,0.4005364094912879,0.4256106009397342,0.2549439829257564,0.2549439829257564,0.5183279760260804,0.19449241484371957,0.4722043361592304,0.5321756745655731,1.0,-0.06032049205519621,-0.08076030926186065,0.288111437920062,0.12614707945646933,0.11588964612003369,-0.03654813758518132,-0.6118759208787993
names,-0.0006565475595885621,-0.02914261297508612,-0.06939360377593352,0.05888755229446835,-0.08199926081224557,-0.005406190235047683,0.11006980472311917,-0.2063543573533644,-0.2063543573533644,0.11043393964269987,-0.24022238806467594,0.04838086774015289,-0.04498134151600872,-0.06032049205519621,1.0,0.780021478297358,0.1351956064666105,-0.0897522042169755,0.6076809105569165,-0.28492776547321175,0.28811943499655407
names,-0.0009502609375145033,-0.14715741985859826,0.032667322581599205,-0.014047216389940996,-0.12191452197013385,0.0034453686595707694,0.02882478368321988,-0.2816392388903337,-0.2816392388903337,-0.07332082853087425,-0.17171932191658734,0.12442410772040062,-0.01818269529421566,-0.08076030926186065,0.780021478297358,1.0,-0.11311515080366166,-0.1714386351269082,0.33958465208296257,-0.16612061591810817,0.35421105526617697
collar,-0.002704453376549938,0.5546042789426894,0.04940464723351156,0.4741831460640376,0.40771098182438165,0.13014449821254281,0.5173201066369681,0.2836213544555975,0.2836213544555975,0.5989504695511392,0.09856540504166192,-0.11579465743892407,0.3309829263792871,0.288111437920062,0.1351956064666105,-0.11311515080366166,1.0,0.3787997633449785,0.33165645167930263,-0.3486805147244629,-0.37975936678109795
collar,-0.009918430799888769,0.1712905547502975,-0.05923723668312799,0.04884203576194193,0.07623908261218604,-0.14690781562769367,0.12535388632341823,0.004116189904407727,0.004116189904407727,0.132351160434819,0.03835389065805503,-0.11486235565143212,0.18424243455482262,0.12614707945646933,-0.0897522042169755,-0.1714386351269082,0.3787997633449785,1.0,0.05995212288094063,-0.27314841247768806,-0.25445077205013744
names,-0.017539269350311384,-0.10799840321850786,-0.1522069568034096,0.007090119748317901,-0.022321938761355093,-0.06818788679159918,0.05113719605467862,-0.1756029915294724,-0.1756029915294724,0.22037495177545197,-0.274807531839464,0.16653777056617217,-0.010936479410222242,0.11588964612003369,0.6076809105569165,0.33958465208296257,0.33165645167930263,0.05995212288094063,1.0,-0.2762039734765252,-0.052797320219330666
bargain,-0.032287140716913416,-0.31366737307151893,-0.23208575993122557,-0.35622918498275263,-0.27296730527391594,-0.002999200219581473,-0.3633066264098413,-0.13162850116276356,-0.13162850116276356,-0.27377472967892597,-0.1740750380397127,0.005436133238028435,-0.25723558607397184,-0.03654813758518132,-0.28492776547321175,-0.16612061591810817,-0.3486805147244629,-0.27314841247768806,-0.2762039734765252,1.0,0.08537298544257263
trust,-0.04594696637039161,-0.3343165190789669,-0.35236510121439757,-0.4816842172893689,-0.68411932687253,-0.3890583492759203,-0.5440020106232483,-0.5126062219825751,-0.5126062219825751,-0.5481383228335315,-0.3523398235152035,-0.3918937967414727,-0.5948429119086296,-0.6118759208787993,0.28811943499655407,0.35421105526617697,-0.37975936678109795,-0.25445077205013744,-0.052797320219330666,0.08537298544257263,1.0
