,success,more winner associations,more above associations,more expensive associations,more TheCreator associations,more descriptive associations,more electric associations,more inside associations,more TheWizard associations,more healthy_positive associations,more math associations,more male associations,more white_collar associations,more show associations,more friendship associations,more lustig associations,more female associations,more bad associations,more bargain associations,more family associations,more white_names associations
more math associations,0.06986762599892951,0.2472894035857441,0.27995650268757544,0.19184644858200875,0.3429330182255912,0.4093482969728429,0.2887985773243511,0.3433674117159655,0.3254792471204842,0.318714400223251,1.0,-0.1494468474599779,0.01957357681244249,-0.052343519615764736,-0.1462495037311892,-0.11527150125468573,-0.08992544995830895,-0.030836360951326656,-0.17287463858637997,-0.06097999976694176,-0.22616010829076505
more male associations,-0.05769249622214066,-0.037335958861039596,-0.027715631214254483,-0.14534581202757052,0.0024075543562048986,-0.2699101790936704,-0.31762618945743704,-0.1429154718577389,-0.02479442810850207,-0.10281532844078312,-0.1494468474599779,1.0,0.4093260530153594,0.4414011575740078,0.43887630189213384,0.5276652434925185,0.746505889217345,0.5865992212537237,0.059897747206394715,0.7436803516763434,0.29218046060521025
more white_collar associations,-0.059262695755414416,-0.03091597279172587,0.132036651759332,-0.02000622618147753,0.14431694320414318,-0.04339478035164077,-0.14674289460367088,0.046110480158531184,0.1101413937374303,0.07005938550756242,0.01957357681244249,0.4093260530153594,1.0,0.3105599773791686,0.3535174357208949,0.5357759697064087,0.562567187911162,0.5080206058205176,-0.24550699645686663,0.5926189895261471,0.17177035952471117
more show associations,-0.059656890757161546,0.06156547179653071,-0.12027598239961958,-0.14962573148646144,0.05873678867100607,-0.04458790880208012,-0.2871647798127479,-0.06539756732761565,0.016132498565973045,-0.026970865020485024,-0.052343519615764736,0.4414011575740078,0.3105599773791686,1.0,0.34843536819619136,0.45622988670952264,0.44859074566611673,0.28066156741632187,0.05661166506288578,0.4417827688233377,0.3541173516047491
more friendship associations,-0.06269232435888515,0.060433773971301855,-0.03600766427631742,-0.0892515145065634,0.06394812165927831,-0.20661207664070064,-0.28367587674426964,-0.2556292533275373,0.024723221476475557,-0.16881622167931098,-0.1462495037311892,0.43887630189213384,0.3535174357208949,0.34843536819619136,1.0,0.5117686498580692,0.5081090886198322,0.4574650389828328,0.07027982866553487,0.5142400045623934,0.3901058240828272
more lustig associations,-0.0629298060145539,-0.02935957593741053,0.04883508812424175,-0.06506895826334005,0.05995719724170408,-0.08050617397089825,-0.24599892423435984,-0.05914090204327459,0.03354896265144174,-0.005650752646539182,-0.11527150125468573,0.5276652434925185,0.5357759697064087,0.45622988670952264,0.5117686498580692,1.0,0.7163143494596812,0.69679380736166,-0.10803153557920138,0.7323379617378373,0.38106262197186347
more female associations,-0.0635575166622956,-0.03745435379975337,0.05409406754385386,-0.10330710982760515,0.027969403746805087,-0.21819472562667952,-0.29521089644276044,-0.09080761808254802,0.0168833603816896,-0.030744034198892253,-0.08992544995830895,0.746505889217345,0.562567187911162,0.44859074566611673,0.5081090886198322,0.7163143494596812,1.0,0.7593709910701286,-0.013295591472141557,0.9152074959386769,0.3764629412853378
more bad associations,-0.06424885014269517,-0.09753554542302129,0.09172667647746884,-0.0736686282249461,0.05329484985370934,-0.10326343825205012,-0.12344638765387428,-0.034495130614082374,0.03732643671789681,-0.001610596712071272,-0.030836360951326656,0.5865992212537237,0.5080206058205176,0.28066156741632187,0.4574650389828328,0.69679380736166,0.7593709910701286,1.0,-0.0971246587062564,0.7910466138193745,0.2411037891080154
more bargain associations,-0.06792652800921552,-0.029294621036133627,-0.27069241258631427,-0.20568108325917944,-0.36960800136845157,-0.19267248108650284,-0.18213952031613678,-0.2886646037745389,-0.33551370890067495,-0.33149374912082413,-0.17287463858637997,0.059897747206394715,-0.24550699645686663,0.05661166506288578,0.07027982866553487,-0.10803153557920138,-0.013295591472141557,-0.0971246587062564,1.0,-0.017705914934266372,0.169807577560234
more family associations,-0.07107786390057935,-0.036180686547082064,0.07724476570993913,-0.08991237615384255,0.028206384554333667,-0.16430438063818836,-0.2618045338887855,-0.07861904301629896,0.01612836448791533,-0.026459538989476925,-0.06097999976694176,0.7436803516763434,0.5926189895261471,0.4417827688233377,0.5142400045623934,0.7323379617378373,0.9152074959386769,0.7910466138193745,-0.017705914934266372,1.0,0.3466722258322954
more white_names associations,-0.08200172415466545,0.07941909809979766,-0.3369097737924742,-0.2705268258050783,-0.3325062032503948,-0.26755933566775797,-0.3769837187623131,-0.4138847413685446,-0.3224971531793583,-0.37284075211971995,-0.22616010829076505,0.29218046060521025,0.17177035952471117,0.3541173516047491,0.3901058240828272,0.38106262197186347,0.3764629412853378,0.2411037891080154,0.169807577560234,0.3466722258322954,1.0
