,success,more unattractive associations,more cool associations,more TheRebel associations,more ugly associations,more open associations,more appetitlich associations,more warm associations,more unappetitlich associations,more pleasant associations,more lifestyle associations,more math associations,more technical associations,more healthy_positive associations,more european_names associations,more african_names associations,more winner associations,more inside associations,more protective associations,more european_names associations,more white_names associations
more lifestyle associations,0.1065620586965387,0.2190243305900418,0.20623617284492557,0.2844016809950657,0.22028328640167097,0.4677162773074566,0.2163702548337699,0.2004726134238742,0.2061972067280701,0.19942820987779344,1.0,-0.06635275183048862,-0.0978440448626668,0.04996239076627714,-0.11037885851295307,-0.20901742955864266,-0.15082204511625352,-0.0559430947352493,-0.13407819322790274,-0.1802573558285525,-0.1936303038619396
more math associations,-0.1056828910180591,0.019269465603637646,-0.04433162838477471,-0.21008410890215778,-0.15189203678076682,-0.06277913690280093,-0.14718218595515178,-0.008536037330166196,-0.03301044041034972,-0.09813748156524475,-0.06635275183048862,1.0,0.34373508208256986,0.3366671943472722,0.002351782868740425,0.16959853708069084,0.25869673376435465,0.3575901167075434,0.3649686214398208,0.18942339067671224,0.23831155396868015
more technical associations,-0.10778984178256332,0.07162511731556641,0.02601746334363999,-0.1612502734721679,-0.22754086173338542,0.1898565140034916,-0.12773122882570415,0.05597767626643787,-0.04275606356210739,-0.07301393579445296,-0.0978440448626668,0.34373508208256986,1.0,0.41684868989763363,-0.050942779482887814,0.14638275010279403,0.11889786220051317,0.38546452347033,0.6200043148777256,0.12618733882470587,0.10562232856460134
more healthy_positive associations,-0.10784570077163684,0.07294870743596062,0.039906324052579385,-0.10668315221959261,-0.06143658902415744,0.14310832076400862,-0.010762961367513818,0.060930880916778264,0.011282424777273018,0.023191764023971512,0.04996239076627714,0.3366671943472722,0.41684868989763363,1.0,-0.05406740600387989,0.18948057681046412,0.22929972921045458,0.9102190500792744,0.5815852781121446,0.18652196899863113,0.18722009141537338
more european_names associations,-0.11108176607358146,-0.3295226410987353,-0.2476429022017572,-0.002914094823772574,-0.13097948917977503,-0.10685877485607356,-0.144177106873388,-0.18809233163135863,-0.2521857046157001,-0.17331117138103747,-0.11037885851295307,0.002351782868740425,-0.050942779482887814,-0.05406740600387989,1.0,0.6104886041607605,0.28382167728643964,-0.024030351597188016,-0.049347349721806565,0.7640467316649389,0.44404385688820625
more african_names associations,-0.11241934234597863,-0.314840245401844,-0.30040782281467093,-0.09954411359057085,-0.2781088632367312,-0.13078801996504605,-0.2644077450647326,-0.2813412648739634,-0.34191358624691304,-0.2764349153155939,-0.20901742955864266,0.16959853708069084,0.14638275010279403,0.18948057681046412,0.6104886041607605,1.0,0.39058727129756593,0.22043897084910388,0.16262499150774365,0.8337888194399161,0.4971455598002806
more winner associations,-0.12753988242528022,-0.14587467972477006,-0.10226914521280848,-0.09690584236633154,-0.06058600880184556,-0.13130427624299126,-0.025857160219474096,-0.12382691622807415,-0.14757613603248845,-0.02622783719278476,-0.15082204511625352,0.25869673376435465,0.11889786220051317,0.22929972921045458,0.28382167728643964,0.39058727129756593,1.0,0.25132861108743476,0.16110845842626248,0.5183835738568919,0.615876512310041
more inside associations,-0.13001436828638016,0.054028933409985574,0.020888287593127067,-0.13140098721807789,-0.0779608957964405,0.031327536596024115,-0.03057063131793368,0.048785750875212204,-0.002342207667852964,0.004508944989156085,-0.0559430947352493,0.3575901167075434,0.38546452347033,0.9102190500792744,-0.024030351597188016,0.22043897084910388,0.25132861108743476,1.0,0.6141857133265026,0.2168436242488463,0.22265911940761077
more protective associations,-0.13078653085699687,0.05319939176119076,0.03297392289431457,-0.17769992050428782,-0.13079167085369506,0.0580059676609945,-0.09325921787307295,0.06406589870491966,-0.003257502200964928,-0.04813348444001817,-0.13407819322790274,0.3649686214398208,0.6200043148777256,0.5815852781121446,-0.049347349721806565,0.16262499150774365,0.16110845842626248,0.6141857133265026,1.0,0.1589999389630762,0.15817712730711064
more european_names associations,-0.14017304798433078,-0.33256172187185645,-0.26432870422315574,-0.08399921011233659,-0.21579965333080167,-0.13952230771242016,-0.19470653781909322,-0.22819215943927987,-0.3138784188397084,-0.1878739139618809,-0.1802573558285525,0.18942339067671224,0.12618733882470587,0.18652196899863113,0.7640467316649389,0.8337888194399161,0.5183835738568919,0.2168436242488463,0.1589999389630762,1.0,0.69887652177985
more white_names associations,-0.16216873282720293,-0.24671138082534108,-0.14652256825146484,-0.12288558182977626,-0.13965265337028623,-0.13093562132785083,-0.12307063444291966,-0.17982319224881813,-0.2154565857275863,-0.0661634050419002,-0.1936303038619396,0.23831155396868015,0.10562232856460134,0.18722009141537338,0.44404385688820625,0.4971455598002806,0.615876512310041,0.22265911940761077,0.15817712730711064,0.69887652177985,1.0
