,success,more african_names associations,more african_names associations,more musical_instrument associations,more lustig associations,more volkswagen associations,more altmodisch associations,more european_names associations,more music associations,more ugly associations,more unsympathisch associations,more alive associations,more science associations,more aktiv associations,more healthy_positive associations,more sustainable associations,more teaching associations,more sustainable associations,more responsible associations,more inside associations,more protective associations
more unsympathisch associations,0.10661856079413555,0.005460577607402978,0.09261851432606444,0.24853385973150172,0.6050964731776338,-0.23623718407004524,0.055876268493532694,-0.014778891806612689,0.32456450381572205,0.7046833987830131,1.0,0.02322498762351715,-0.09113618699217604,-0.02285500001112179,0.03860553248892418,0.08363543332401428,0.09578132034919412,0.08608603749424427,0.03748117540543952,-0.02756586551477012,-0.04370399345106283
more alive associations,-0.1777284542391078,-0.41063185199301405,-0.35204777269867227,-0.10210935059626855,-0.054064346097841824,-0.2732536995754431,-0.1693822989212371,-0.32385147536612147,-0.13209375664941048,-0.07336599145075091,0.02322498762351715,1.0,0.5487963357676023,0.7695543284134421,0.6142378461220125,0.7169340698513114,0.5553424073358143,0.6925847506594075,0.4685729870193208,0.5629586771130254,0.5609043638981557
more science associations,-0.18119089107827038,-0.30475892919483943,-0.2891687942963836,-0.11316916988445061,-0.13000475388528884,-0.1817242968372762,-0.12338311286842965,-0.24969965402718602,-0.13453789468746152,-0.13504418331569223,-0.09113618699217604,0.5487963357676023,1.0,0.5722383283932978,0.4594544794638977,0.5838597995171012,0.5895991340059318,0.5545078847431977,0.40120724800657825,0.4377246288896824,0.4879365443908502
more aktiv associations,-0.18211581773752467,-0.37061050187532885,-0.30796181712233384,-0.10511323321780046,-0.0016603717966435809,-0.22596142945974623,-0.0925368035005841,-0.2811081364834677,-0.1556529096028355,-0.11309953381597349,-0.02285500001112179,0.7695543284134421,0.5722383283932978,1.0,0.47021213138068096,0.5688699387975787,0.46466076463094796,0.5136009220172089,0.3496147889907249,0.4296803686441298,0.4647002036261845
more healthy_positive associations,-0.18254658213013666,-0.4353485766161889,-0.36946033024972513,-0.2023980024584822,-0.17989026416100454,-0.3530054258574812,-0.31341810091688854,-0.24736813629630863,-0.10865471841561411,-0.0758766332217607,0.03860553248892418,0.6142378461220125,0.4594544794638977,0.47021213138068096,1.0,0.732791502385752,0.6952183215503887,0.8007865729726114,0.5719925816281565,0.9428993786020663,0.6042831132850593
more sustainable associations,-0.1828944878629852,-0.38085375281517886,-0.3651498599421968,-0.11522354996745063,-0.11207757888750032,-0.2760062573745842,-0.18688804208282264,-0.3384983422738456,-0.1268009763304908,-0.05183546308536611,0.08363543332401428,0.7169340698513114,0.5838597995171012,0.5688699387975787,0.732791502385752,1.0,0.6693596346230609,0.9526627883213418,0.5445785794800846,0.6510229638179683,0.6398382094833505
more teaching associations,-0.18486842027963807,-0.3534135555645866,-0.3662778164004518,-0.13362094795535925,-0.09163336223688434,-0.36071564674383894,-0.2725592911318065,-0.35870634586454336,-0.09042000919071042,0.009648333625906117,0.09578132034919412,0.5553424073358143,0.5895991340059318,0.46466076463094796,0.6952183215503887,0.6693596346230609,1.0,0.732063011426684,0.5719248496538615,0.6669577782369644,0.564327846316711
more sustainable associations,-0.18573937315264122,-0.40363881995464057,-0.38425724993882066,-0.1441391847516338,-0.14341044231950417,-0.3157700136770495,-0.24500996428145821,-0.3495874862461479,-0.12163444396309549,-0.052682389848418616,0.08608603749424427,0.6925847506594075,0.5545078847431977,0.5136009220172089,0.8007865729726114,0.9526627883213418,0.732063011426684,1.0,0.6045839737252513,0.7430549165057023,0.6578263444230366
more responsible associations,-0.18644208102142695,-0.33615784763461115,-0.3064297758613818,-0.19939745053638394,-0.20055758714943997,-0.3174554694676923,-0.32092848221521597,-0.36413067600219856,-0.1700027034259272,-0.04653978883050509,0.03748117540543952,0.4685729870193208,0.40120724800657825,0.3496147889907249,0.5719925816281565,0.5445785794800846,0.5719248496538615,0.6045839737252513,1.0,0.5815558970997768,0.5872879421275334
more inside associations,-0.19221919355164918,-0.42552337452438815,-0.36231073563069843,-0.21181131210222864,-0.21827878702366832,-0.30784468098057877,-0.3184815307059619,-0.2257519124151794,-0.11677610956308106,-0.1340799820115076,-0.02756586551477012,0.5629586771130254,0.4377246288896824,0.4296803686441298,0.9428993786020663,0.6510229638179683,0.6669577782369644,0.7430549165057023,0.5815558970997768,1.0,0.617982046360625
more protective associations,-0.1957438159683508,-0.43300796831213667,-0.42987559715709556,-0.16571096149406883,-0.19006737024368936,-0.24236657036873702,-0.2875153417053188,-0.40065420122641765,-0.27329336540986343,-0.18170451837973728,-0.04370399345106283,0.5609043638981557,0.4879365443908502,0.4647002036261845,0.6042831132850593,0.6398382094833505,0.564327846316711,0.6578263444230366,0.5872879421275334,0.617982046360625,1.0
