,success,more innovative associations,more innovative_rachel associations,more bargain associations,more modern associations,more modern associations,more trust associations,more math associations,more bargain associations,more new associations,more new associations,more introverted associations,more community associations,more volkswagen associations,more blue_collar associations,more arts associations,more arts associations,more unsustainable associations,more friendship associations,more math associations,more volkswagen associations
more new associations,0.08933726723306602,0.39189073002048763,0.39189073002048763,0.06246466847376608,0.8897506857662142,0.8897506857662142,0.13134287282310453,0.0542041252739232,0.021118588138871363,0.7830640241128515,1.0,-0.019533377997087667,0.04470801889592664,0.11814436048519436,-0.11886160996749344,-0.06007092634434285,-0.06007092634434285,0.036636131158770846,-0.194550238374455,-0.1364068079927152,-0.04274521577481512
more introverted associations,-0.08084498093221426,-0.05443974210013286,-0.05443974210013286,-0.27928515596755615,-0.0067157842341785574,-0.0067157842341785574,-0.4066658314879309,0.26041637250124844,-0.2270070360107918,0.10645448515042968,-0.019533377997087667,1.0,0.17813057318745362,-0.29304762831462366,0.041907160567197586,0.23035314110916538,0.23035314110916538,0.13330193444098018,0.3160265447925523,0.1253316570180795,-0.08486759803443106
more community associations,-0.08455663261912874,-0.017797752565664942,-0.017797752565664942,-0.11842576063367106,0.03804031559435142,0.03804031559435142,-0.06748612715533625,0.015806630749426415,-0.12632809605274262,0.1709189271129105,0.04470801889592664,0.17813057318745362,1.0,0.07327907527818127,-0.025709921628493608,0.20447534787411362,0.20447534787411362,0.4989751194727633,0.016850854701969384,0.08744390187220136,0.1553955024375885
more volkswagen associations,-0.0847902600020584,0.08248366507549604,0.08248366507549604,0.1881998975442658,0.1445046562568878,0.1445046562568878,0.13206730440541148,-0.2941855246096253,0.10930128247193582,-0.02702419181627319,0.11814436048519436,-0.29304762831462366,0.07327907527818127,1.0,0.20081782360099304,-0.02615071499415371,-0.02615071499415371,0.07824827002067343,-0.17591130062804053,-0.05425723630051657,0.6874755381449048
more blue_collar associations,-0.08845688485800796,-0.015409427816727998,-0.015409427816727998,-0.12391931231176755,-0.1458954800044222,-0.1458954800044222,-0.12713747759639868,-0.07029906178709619,-0.05102222846498361,-0.1830718862985183,-0.11886160996749344,0.041907160567197586,-0.025709921628493608,0.20081782360099304,1.0,-0.08025740302874203,-0.08025740302874203,-0.04709073116055283,-0.012396989915779085,0.0015404659819149976,0.2667208884004818
more arts associations,-0.08859473813188219,-0.022882994969272034,-0.022882994969272034,-0.1578348330146756,-0.020465298859388668,-0.020465298859388668,-0.11750214368507168,0.03374100675695273,-0.19299177527774394,0.013180610194064885,-0.06007092634434285,0.23035314110916538,0.20447534787411362,-0.02615071499415371,-0.08025740302874203,1.0,1.0,0.193920760095689,0.23906274017665893,0.17343019493401485,0.10865739937703942
more arts associations,-0.08859473813188219,-0.022882994969272034,-0.022882994969272034,-0.1578348330146756,-0.020465298859388668,-0.020465298859388668,-0.11750214368507168,0.03374100675695273,-0.19299177527774394,0.013180610194064885,-0.06007092634434285,0.23035314110916538,0.20447534787411362,-0.02615071499415371,-0.08025740302874203,1.0,1.0,0.193920760095689,0.23906274017665893,0.17343019493401485,0.10865739937703942
more unsustainable associations,-0.08911060418613878,0.2242996354317478,0.2242996354317478,-0.05301784963807302,0.09109218427060425,0.09109218427060425,-0.015855494488703065,0.09827212554003627,-0.1574218624901404,0.11943799222418322,0.036636131158770846,0.13330193444098018,0.4989751194727633,0.07824827002067343,-0.04709073116055283,0.193920760095689,0.193920760095689,1.0,-0.11112086197911895,0.06252432013914601,0.09701853009959503
more friendship associations,-0.08973370168165759,-0.2615457045074331,-0.2615457045074331,-0.17927398530617428,-0.24460056924071039,-0.24460056924071039,-0.22538677001071414,0.027449245184512378,0.0034040101066204705,-0.13628517918064367,-0.194550238374455,0.3160265447925523,0.016850854701969384,-0.17591130062804053,-0.012396989915779085,0.23906274017665893,0.23906274017665893,-0.11112086197911895,1.0,0.03525950469275453,0.02157811100534543
more math associations,-0.09192074361741025,-0.05857818697866079,-0.05857818697866079,-0.10215227358569953,-0.12164033302968186,-0.12164033302968186,-0.1665188078997728,0.006555255295302282,-0.06764986968021151,-0.1073054899199923,-0.1364068079927152,0.1253316570180795,0.08744390187220136,-0.05425723630051657,0.0015404659819149976,0.17343019493401485,0.17343019493401485,0.06252432013914601,0.03525950469275453,1.0,0.05356465116382382
more volkswagen associations,-0.0942311440634886,-0.0313376818264328,-0.0313376818264328,-0.11862508548458238,-0.05891014192516279,-0.05891014192516279,-0.16796460372681427,-0.29570465169013327,0.06494183263822398,-0.043404984100723853,-0.04274521577481512,-0.08486759803443106,0.1553955024375885,0.6874755381449048,0.2667208884004818,0.10865739937703942,0.10865739937703942,0.09701853009959503,0.02157811100534543,0.05356465116382382,1.0
