,success,more ernst associations,more responsible associations,more power associations,more expensive associations,more TheCarer associations,more cruel associations,more descriptive associations,more TheWizard associations,more closed associations,more blue_collar associations,more ernst associations,more extraverted associations,more teaching associations,more trust associations,more african_names associations,more TheCreator associations,more sustainable associations,more sustainable associations,more warm associations
more blue_collar associations,-0.06670320119505255,-0.044142347723174165,0.05219269986435452,0.00012756924351433422,0.02663336470864487,0.019058260466208215,-0.020949052808354896,-0.03586816570733839,-0.02617703453365009,-0.03443142018043286,1.0,0.19187319875812436,0.2189994670999075,0.21778215760598213,0.09761111097490106,0.164348186138641,0.21142526625965338,0.24223858888674696,0.24003780198815983,0.21817965892068125
more ernst associations,-0.06682304759604697,0.11697035220004075,0.17290990314562957,0.11464301642990098,0.11401309726360771,0.13813372284711453,0.13697369071930016,0.019276611669797033,0.09215477374993869,0.18426001319097424,0.19187319875812436,1.0,0.4950854770604604,0.47962254106090435,0.09815744770143221,0.08624286399295837,0.5108351488183107,0.45159227695776016,0.4036101521632017,0.5759395019639917
more extraverted associations,-0.0672384826332987,0.06390156580459322,0.120172129805799,0.05590756271003472,0.10568983758184378,0.12694104374337226,0.07229395169082384,0.10375577463450529,0.07316068745539686,0.09662809159994562,0.2189994670999075,0.4950854770604604,1.0,0.6976322307375785,0.13430299995913098,0.11698213589136155,0.6937266053723313,0.7875789587561508,0.7665316645560006,0.7876674646516562
more teaching associations,-0.06724175205937055,0.08753144056831283,0.1759114702191376,0.07101850773465465,0.0893404321968896,0.16320240289345278,0.09056109272327732,0.08028776674590106,0.12206595871193127,0.1185883512006281,0.21778215760598213,0.47962254106090435,0.6976322307375785,1.0,0.10337545579259329,0.10673036223714276,0.7602644294678341,0.6257372602861173,0.565134049695333,0.6546030831197578
more trust associations,-0.06762939992198258,-0.34293625266369954,-0.25490027157353123,-0.2437768729726768,-0.3663818327995611,-0.396326407083972,-0.37222571736612803,-0.11268689854612964,-0.4369503672602597,-0.3375748369054291,0.09761111097490106,0.09815744770143221,0.13430299995913098,0.10337545579259329,1.0,0.37734942940715993,0.1365904830940512,0.10805719911407295,0.10507694553732756,0.15367900095498768
more african_names associations,-0.07121177004533327,-0.3300322596942981,-0.3169104912128461,-0.21597120755322863,-0.336064006741803,-0.3862990513045707,-0.3490790993222201,-0.06527164201913886,-0.22744635292493284,-0.35390973664509817,0.164348186138641,0.08624286399295837,0.11698213589136155,0.10673036223714276,0.37734942940715993,1.0,0.14377187002896477,0.14205367952417658,0.13665256643331977,0.14313484507892082
more TheCreator associations,-0.07354314310500762,0.06999409032272687,0.15180629302329157,0.07246826457619278,0.09211724086440946,0.10596169398160038,0.07172833705026298,0.17208117121101021,0.12316915542097287,0.09882231507556782,0.21142526625965338,0.5108351488183107,0.6937266053723313,0.7602644294678341,0.1365904830940512,0.14377187002896477,1.0,0.6136657316085455,0.5711883465522763,0.7212443158471198
more sustainable associations,-0.07689894314747162,0.027648206255069713,0.11502308990482711,0.061738721880375255,0.07212613111578675,0.07360644600394155,0.03433667741025518,0.08665476669680341,0.038524620353777045,0.05979516360067677,0.24223858888674696,0.45159227695776016,0.7875789587561508,0.6257372602861173,0.10805719911407295,0.14205367952417658,0.6136657316085455,1.0,0.957562746358973,0.656719241356064
more sustainable associations,-0.07697773870632116,0.02704622781665088,0.0989858247204624,0.06716836034442067,0.07563123664171563,0.05515642552350739,0.04284988745179864,0.12305096142429889,0.03776083594382047,0.054183455776818185,0.24003780198815983,0.4036101521632017,0.7665316645560006,0.565134049695333,0.10507694553732756,0.13665256643331977,0.5711883465522763,0.957562746358973,1.0,0.6222356724787573
more warm associations,-0.07854785206987891,0.08428214224653455,0.12111594590369203,0.0745355361969286,0.09812784313282194,0.1237722541476782,0.09185783817756758,0.053949007995204204,0.11584348898594611,0.1219822645995337,0.21817965892068125,0.5759395019639917,0.7876674646516562,0.6546030831197578,0.15367900095498768,0.14313484507892082,0.7212443158471198,0.656719241356064,0.6222356724787573,1.0
