,success,more traditional associations,more blue_collar associations,more innovative_rachel associations,more innovative associations,more technical associations,more african_names associations,more TheHero associations,more TheRuler associations,more altmodisch associations,more altmodisch associations,more basic associations,more closed associations,more bad associations,more pleasant associations,more uncool associations,more friendship associations,more basic associations,more white_names associations,more lustig associations
more altmodisch associations,-0.053871468944042454,0.03608890772849547,-0.21716214633932715,-0.12232376548912956,-0.12232376548912956,-0.21440701837690987,0.07615883185209969,-0.20391120620671882,-0.2490124777544478,0.15612811759822895,1.0,0.23622119663878316,-0.022946525406445404,-0.009133781227810184,0.20480658791440937,-0.14520595797925454,0.06874002472768384,0.10053220365917852,0.35060782552919034,0.3774238572624664
more basic associations,-0.05451759074002766,-0.010590208578869323,-0.23709515153961613,-0.22965231903558156,-0.22965231903558156,-0.25835754979560427,-0.15039704040059862,-0.02923007550153309,-0.09241727699580227,-0.004083243887216798,0.23622119663878316,1.0,0.275837944053747,0.2283989570123853,0.37968908544208174,0.20456241189077373,0.3088094600667719,0.23930500198520607,0.15768609621266091,0.3490103274026971
more closed associations,-0.05667184489336895,0.07035291630512325,-0.08309818138208426,-0.090135080520618,-0.090135080520618,-0.07813995923416568,-0.1657283011367512,0.25112069795348513,0.20435374273410123,-0.049448231178613335,-0.022946525406445404,0.275837944053747,1.0,0.7701595847840529,0.4134414908996777,0.7189138967619577,0.2574778343185357,0.17387903454212908,-0.17720933479176706,0.2621098736843369
more bad associations,-0.05695285006856014,0.029227513871901936,-0.08128220940342397,-0.09726474415968184,-0.09726474415968184,-0.04892303535578059,-0.18285207807370252,0.25414247523639144,0.17111982953526708,-0.06274951325555751,-0.009133781227810184,0.2283989570123853,0.7701595847840529,1.0,0.42843006225876773,0.6796242321750976,0.31054147421714423,0.14615132529447666,-0.15880852692964628,0.3346015812171335
more pleasant associations,-0.05960907287182941,0.06574761497475333,-0.1280845652884292,-0.11988736620534472,-0.11988736620534472,-0.10254927978338754,-0.2221793969685319,0.14162004645895734,-0.04109888753963723,0.03436783206867549,0.20480658791440937,0.37968908544208174,0.4134414908996777,0.42843006225876773,1.0,0.3462674597118457,0.4115332358761767,0.3565208955176381,0.06128596890815081,0.4802032008513819
more uncool associations,-0.061083883207427095,0.10925608329734816,0.011008818777579567,0.04004376527654708,0.04004376527654708,0.1165113275849346,-0.19080662476789023,0.23024866206691644,0.2112194987152215,-0.0362059091314944,-0.14520595797925454,0.20456241189077373,0.7189138967619577,0.6796242321750976,0.3462674597118457,1.0,0.08687495615999842,0.13606737663994736,-0.31125561207600316,0.20285609185418735
more friendship associations,-0.06378394329873117,-0.07160437318218524,-0.16978041036504693,-0.2486387017051315,-0.2486387017051315,-0.23694694556720813,-0.18622975470729744,0.08712097871768999,-0.025640469045050157,-0.12881722420163672,0.06874002472768384,0.3088094600667719,0.2574778343185357,0.31054147421714423,0.4115332358761767,0.08687495615999842,1.0,0.28215901000217813,0.3153890882106277,0.509092303462471
more basic associations,-0.06811492323500622,0.028073957357613834,-0.12290481117086301,-0.1740015418006037,-0.1740015418006037,-0.15209471598508045,-0.13307692233173155,-0.05419569873112918,-0.15664040006175986,0.032615653354900076,0.10053220365917852,0.23930500198520607,0.17387903454212908,0.14615132529447666,0.3565208955176381,0.13606737663994736,0.28215901000217813,1.0,0.21319263997099674,0.33427223792190286
more white_names associations,-0.06812519711544153,-0.1463753494851822,-0.23510032353408936,-0.23085088810226967,-0.23085088810226967,-0.30102739372068377,-0.037910217497163175,-0.20577224108799677,-0.2809964281179069,-0.03323045094296451,0.35060782552919034,0.15768609621266091,-0.17720933479176706,-0.15880852692964628,0.06128596890815081,-0.31125561207600316,0.3153890882106277,0.21319263997099674,1.0,0.2665655014303598
more lustig associations,-0.07478406425974982,0.11249879058247415,-0.20312442386080548,-0.16988808877960138,-0.16988808877960138,-0.1777462428031206,-0.14300091426353265,0.06551004766518242,-0.1276548516008015,0.055161040398267004,0.3774238572624664,0.3490103274026971,0.2621098736843369,0.3346015812171335,0.4802032008513819,0.20285609185418735,0.509092303462471,0.33427223792190286,0.2665655014303598,1.0
