,success,inner,heHero,ower,lunt,names,heRuler,ale,heLover,heCarer,ee,esign,rust,elow,xpensive,ractical,echnical,escriptive,argain,lectric,ltmodisch
ee,0.048281330466875945,0.40296248917439786,0.5875330184590841,0.05443811075547974,0.5500618128645111,0.23757365679497158,0.27037806677422493,0.49054584870361123,0.5645741376735094,0.47017850914590276,1.0,0.2671209693362039,-0.5268898066015676,0.2052697826126311,0.19450882490344065,0.18328718084079904,-0.09500231285512445,0.18204211790432342,-0.20601127651775294,-0.21268195759540195,0.17408445170833792
esign,-0.013623291785679207,-0.2631454893734731,0.2973818721973489,0.44487335597311767,0.3732061882940634,-0.2904392420293135,0.33439222742720703,0.041145583937174574,0.39321263904840376,0.2692996020768698,0.2671209693362039,1.0,-0.36219539107876847,0.32442246770046895,0.658929666563342,0.5715129918727542,0.5897113890372688,0.4131705607365037,-0.20176430102726145,0.4056863837804417,0.41693551999203626
rust,-0.013843460449203704,-0.10112795447811111,-0.495799967108272,-0.3078455376053448,-0.621825706755738,-0.015095121725704643,-0.28359715711605293,-0.5039702290940657,-0.5408667010414266,-0.6795935862924378,-0.5268898066015676,-0.36219539107876847,1.0,-0.45749997680403914,-0.4703064331220414,-0.3884289677474235,-0.10762982569756914,-0.09019379111143021,0.07633146860486804,-0.17261762293149832,0.02217009895242928
elow,-0.013976905568767834,-0.276771173614255,0.03734307976922206,0.3333495413088648,0.3215299525005701,-0.43838904558968433,0.08187283874030979,0.14588941298513788,0.04692397302289086,0.2238053624915857,0.2052697826126311,0.32442246770046895,-0.45749997680403914,1.0,0.2823927544766612,0.3895028454618791,0.11978888136291177,0.267497569376794,-0.023454425278155507,0.23345720421089164,-0.18439758146809973
xpensive,-0.018660748104485925,-0.14145087097565986,0.31448993447409795,0.387511425613538,0.4003648091253602,-0.3206606262638911,0.3328031723223154,0.12038076834444404,0.3933434213233866,0.4028421239875719,0.19450882490344065,0.658929666563342,-0.4703064331220414,0.2823927544766612,1.0,0.49154450444944886,0.4008894021999959,0.16244122271750255,-0.01809547698108436,0.38731352386855483,0.15344098983412144
ractical,-0.01908973808219589,-0.2638797434469983,0.42411913608805146,0.3951964623682229,0.5110447314944457,-0.4128122750396074,0.5883405407046964,-0.05024574712774313,0.45329319526318906,0.515294910306042,0.18328718084079904,0.5715129918727542,-0.3884289677474235,0.3895028454618791,0.49154450444944886,1.0,0.6663128188399304,0.6316100318786755,-0.1911602784174495,0.4743042335938629,-0.10821246274495515
echnical,-0.019507199552002707,-0.37449030589579246,0.138990709520847,0.43999667339918735,0.14272365079240232,-0.3894696028060002,0.40021984363594126,-0.33934857937984775,0.10017391326254052,0.1111600538468285,-0.09500231285512445,0.5897113890372688,-0.10762982569756914,0.11978888136291177,0.4008894021999959,0.6663128188399304,1.0,0.524330810821785,-0.19857579301356998,0.7135962592056218,0.0007232872244886272
escriptive,-0.025691416267356867,-0.25022996685022475,0.20407258785001847,0.1636999392589503,0.1423584464471129,-0.29296002776637153,0.4158926919191597,-0.2774714201409527,0.11954101125216532,0.09123041795921234,0.18204211790432342,0.4131705607365037,-0.09019379111143021,0.267497569376794,0.16244122271750255,0.6316100318786755,0.524330810821785,1.0,-0.19096866910191237,0.25991189674222875,0.11498961618687366
argain,-0.02741940989103378,0.06342385310936541,-0.24606770762732127,-0.20215122583623907,-0.2529001280449785,-0.2037780587244403,-0.29391463504708787,-0.22049957182342633,-0.23638835967452235,-0.2362185809858964,-0.20601127651775294,-0.20176430102726145,0.07633146860486804,-0.023454425278155507,-0.01809547698108436,-0.1911602784174495,-0.19857579301356998,-0.19096866910191237,1.0,-0.13167419309992875,-0.20491240832613936
lectric,-0.02975376346269218,-0.5093010203925138,-0.0897860732168706,0.5404914858889674,0.03936995105846841,-0.4598642204275017,0.19103494556962994,-0.33325443617604916,-0.0824708571721587,0.060053453638857446,-0.21268195759540195,0.4056863837804417,-0.17261762293149832,0.23345720421089164,0.38731352386855483,0.4743042335938629,0.7135962592056218,0.25991189674222875,-0.13167419309992875,1.0,-0.05345538123581516
ltmodisch,-0.03646077676033955,-0.07906832726761921,-0.10136008211326558,-0.17992923529010302,-0.143559962360783,0.18168254629668135,-0.20432372133048304,0.032666820258641795,-0.015496587805042332,-0.19971561113233374,0.17408445170833792,0.41693551999203626,0.02217009895242928,-0.18439758146809973,0.15344098983412144,-0.10821246274495515,0.0007232872244886272,0.11498961618687366,-0.20491240832613936,-0.05345538123581516,1.0
