,success,esign,eautiful,heap,old,ttractive,nkompliziert,arm,xpensive,ool,ppetitlich,ath,inner,olkswagen,names,erformance,names,names,argain,names,rust
ath,0.01772963310388154,0.25136143044535697,0.02706272373934163,0.31195021773549775,0.4034027719163575,0.3318441726120803,0.4247400588215385,0.39038264730618033,0.19737059795406764,0.26281175628487896,0.057969557529727454,1.0,-0.04743780259930115,-0.23257653436238807,-0.4278596327580233,-0.39689067969061487,-0.4334283366648965,-0.3263018557859724,-0.06662405784056315,-0.41992784369465036,-0.455875056288594
inner,-0.007769547369565926,-0.24006586127938245,0.20860922511810043,0.013756086038694127,-0.27641333328624407,0.08436637276384268,-0.2831730008577717,0.022837912443048624,-0.029433959349767218,-0.08606997064488986,0.20452538483202043,-0.04743780259930115,1.0,0.016657385038231946,0.40249471896351663,0.6093591531201862,0.6023998216491881,0.6758350733305017,0.037791721351615445,0.5359869504034745,-0.11239621459557601
olkswagen,-0.008914647189938096,-0.19102891811420256,-0.39556296340119734,-0.38324792066346575,-0.25546176728187714,-0.47250078306637994,-0.3513434858349285,-0.42972828363716176,-0.07071934885221079,-0.3353317935757568,-0.41113515552684665,-0.23257653436238807,0.016657385038231946,1.0,0.3356849773179005,-0.010345522226689146,0.12178961542525428,-0.02789476951634257,0.14315620476860702,0.16075841159527982,0.4107734276312093
names,-0.030399140028049585,-0.32296167164445644,-0.10537885918788417,-0.3270297392569459,-0.4119528471278452,-0.37038613507097135,-0.5095110294844909,-0.31461785501939693,-0.3640229574723919,-0.3173907676234878,-0.23605372396227128,-0.4278596327580233,0.40249471896351663,0.3356849773179005,1.0,0.4154268305963578,0.7735609877861515,0.5464443673751758,-0.13290789581823848,0.819043684460383,0.4015998463809998
erformance,-0.03296189987976444,-0.2027242982765659,0.1887348587691395,-0.1983186018454816,-0.37589391532375604,-0.0032139486435505487,-0.42919470326822656,-0.06895778197713813,-0.16578635000421804,-0.1548565534571337,0.15996246640129977,-0.39689067969061487,0.6093591531201862,-0.010345522226689146,0.4154268305963578,1.0,0.6425595400936236,0.6284569803621104,0.015204130052277593,0.5668928689956445,0.09769519823132453
names,-0.04206978767080288,-0.3837202499544428,0.06253422734247474,-0.331937815507278,-0.5132743713078997,-0.23026066536424603,-0.5778977881957083,-0.2654015439636656,-0.36159612399980834,-0.3338715932908271,-0.02472504340335576,-0.4334283366648965,0.6023998216491881,0.12178961542525428,0.7735609877861515,0.6425595400936236,1.0,0.8367334965978553,-0.14912429070889693,0.8997729005413755,0.25730420319788333
names,-0.04877195440858423,-0.40557938567842544,0.13331606471570107,-0.21704807621445688,-0.49265939698371825,-0.13436070541928868,-0.5063830776307487,-0.20267414260765737,-0.35569702812277804,-0.22625685729755915,0.08564699416313232,-0.3263018557859724,0.6758350733305017,-0.02789476951634257,0.5464443673751758,0.6284569803621104,0.8367334965978553,1.0,-0.16938968333927792,0.7043809842067523,0.05959102278263286
argain,-0.04919347951493458,-0.16478893080729026,-0.13208405872306542,-0.12124738055075446,-0.22176721668030186,-0.17258652896588966,-0.17254665868674193,-0.20877052199987053,0.00468899265454338,-0.10392589917956195,-0.02406038053179027,-0.06662405784056315,0.037791721351615445,0.14315620476860702,-0.13290789581823848,0.015204130052277593,-0.14912429070889693,-0.16938968333927792,1.0,-0.1989696371994255,0.09258325559135788
names,-0.052624497984349324,-0.3712946418055657,-0.04530041327208751,-0.33693792206196915,-0.45131106347130867,-0.2847406295989248,-0.5326788986740647,-0.2798905309702234,-0.34909242088658726,-0.3307336346026101,-0.13977180903156072,-0.41992784369465036,0.5359869504034745,0.16075841159527982,0.819043684460383,0.5668928689956445,0.8997729005413755,0.7043809842067523,-0.1989696371994255,1.0,0.33840072255081544
rust,-0.09820929843153559,-0.4587118898047619,-0.6250335736497036,-0.7215217479735394,-0.4724443045850448,-0.7114666443601636,-0.5630195044638386,-0.7203648038202973,-0.524139694855282,-0.6624627054170856,-0.6254156954436196,-0.455875056288594,-0.11239621459557601,0.4107734276312093,0.4015998463809998,0.09769519823132453,0.25730420319788333,0.05959102278263286,0.09258325559135788,0.33840072255081544,1.0
