,success,xpensive,nside,utside,ustainable,live,ustainable,aluable,positive,ig,achhaltig,emale,instrument,riendship,erformance,usic,names,rust,names,names,names
achhaltig,0.13856260578554702,0.6454826329128094,0.7829026390692954,0.7048600027031949,0.8027983424241205,0.8202994852267295,0.8627270877283555,0.840698097273282,0.7886006762294078,0.8056335002668629,1.0,0.2906802163464641,-0.08744310567514538,0.20684782320167827,-0.32165759232166957,0.08182820217157549,-0.3477851479953365,-0.6894517938751551,-0.46784989764396273,-0.4840020917106004,-0.4340440052165628
emale,-0.036384985048029415,0.20085745710687117,0.104794302938649,-0.025369401568950452,0.18098477059516763,0.2317138159188918,0.19394072621851335,0.3207698701328015,0.34587894053671886,0.35239854315554064,0.2906802163464641,1.0,0.249516735505589,0.7978040254788105,0.1477294006019329,0.3784290772513718,0.42735601833006803,-0.5352456302697667,0.3304553497656331,0.15579965348706198,0.22576330775725215
instrument,-0.03718700971544026,0.07922353042594663,-0.027876955558591664,-0.04914888090965852,0.05861601774571909,0.1268883243208576,-0.022052751705647685,-0.04733211902319552,0.11978471344182641,0.10742462479462879,-0.08744310567514538,0.249516735505589,1.0,0.2904292978013811,0.3669821515888915,0.7424917469631055,0.298788363139727,-0.11303599359884486,0.33754683048458645,0.27130849336362045,0.2785886536505837
riendship,-0.038357935871045495,0.2045668009089638,0.032550251863591555,-0.08806168855649911,0.1140551786191207,0.18828180192603933,0.103011451759088,0.26194884200901286,0.2255699345224853,0.3287663743403279,0.20684782320167827,0.7978040254788105,0.2904292978013811,1.0,0.20178871030586407,0.3658822071892372,0.366559326281625,-0.5367280794432203,0.22729719810033214,0.047451502394523185,0.15521529618832794
erformance,-0.042845001524628175,-0.14105415709770663,-0.39974601710408025,-0.44805529029784996,-0.26690370847658446,-0.10553704176051543,-0.31548764305142,-0.27087656002307436,-0.22597546169676472,-0.12155113088350801,-0.32165759232166957,0.1477294006019329,0.3669821515888915,0.20178871030586407,1.0,0.5514701866926887,0.5224756617702784,0.10947928503258625,0.5515371385572889,0.33295086801284934,0.4790802705386521
usic,-0.06502385610515403,0.07618521561676692,-0.024023168482554022,-0.08915961478299865,0.10799194031655193,0.24754857665409202,0.0472854284609625,0.028378127459230306,0.19348446285310042,0.23504855261848276,0.08182820217157549,0.3784290772513718,0.7424917469631055,0.3658822071892372,0.5514701866926887,1.0,0.30667532903556316,-0.1363849939690209,0.4065241762636346,0.3732144437833623,0.3947677206781691
names,-0.08389548557623437,-0.3069122365189088,-0.4753818192100047,-0.5411679625553749,-0.3185201154163772,-0.25219257257988026,-0.3432558840859066,-0.3265984380715303,-0.2925177339862753,-0.24393822838875648,-0.3477851479953365,0.42735601833006803,0.298788363139727,0.366559326281625,0.5224756617702784,0.30667532903556316,1.0,0.013932387568750053,0.7459466967437658,0.4347832192149186,0.5945607137139386
rust,-0.09295221663106568,-0.5670359562761947,-0.5927786171685929,-0.48540882275114816,-0.6203723964241521,-0.6488667830603325,-0.645361161180287,-0.6951052516198082,-0.6508243470818981,-0.6953747979228527,-0.6894517938751551,-0.5352456302697667,-0.11303599359884486,-0.5367280794432203,0.10947928503258625,-0.1363849939690209,0.013932387568750053,1.0,0.26914798772328863,0.46984841819045764,0.3749283845666157
names,-0.11057284597686204,-0.31011383166979367,-0.5411644502304207,-0.5959984152604161,-0.415568185514102,-0.3853652437881718,-0.4563352451670394,-0.4151966866643517,-0.3508365882294864,-0.3041105358688846,-0.46784989764396273,0.3304553497656331,0.33754683048458645,0.22729719810033214,0.5515371385572889,0.4065241762636346,0.7459466967437658,0.26914798772328863,1.0,0.7627138333093684,0.9022201200583357
names,-0.11783035227567118,-0.3792334909033162,-0.4903972019846456,-0.48865894975249313,-0.4410808695975547,-0.43619210395075986,-0.4773678989880862,-0.48947465249710503,-0.38042513352791796,-0.3399906256071667,-0.4840020917106004,0.15579965348706198,0.27130849336362045,0.047451502394523185,0.33295086801284934,0.3732144437833623,0.4347832192149186,0.46984841819045764,0.7627138333093684,1.0,0.8281037979060866
names,-0.11868383945015597,-0.32350667530353977,-0.49095439590426276,-0.525051572772103,-0.4220310061732945,-0.3982603500953595,-0.45485963209151675,-0.40585745228655007,-0.3713119102209283,-0.28086195876480113,-0.4340440052165628,0.22576330775725215,0.2785886536505837,0.15521529618832794,0.4790802705386521,0.3947677206781691,0.5945607137139386,0.3749283845666157,0.9022201200583357,0.8281037979060866,1.0
