,success,ool,leasant,leasant,names,emale,eautiful,ntroverted,live,azy,ktiv,lectric,nnatürlich,eapon,raditional,echnical,argain,aluable,rotective,ead,valuating
ktiv,0.028179663289605358,0.5833970150398317,0.5341484570753386,0.5562761104446283,0.014877963981120946,0.21488806968840055,0.5149314396221751,0.575799182725565,0.8808881536113945,0.6015813934836246,1.0,0.3632359710268251,0.15885710121394953,-0.1794554960907126,0.4761970373293622,0.4705188091499027,-0.1697658319060605,0.49902411429397536,0.3323570609773917,0.23261967557598084,0.26302757337259847
lectric,-0.023333237587049895,0.2920801989218341,0.09516805920311856,-0.09533001253426263,-0.470603556645807,-0.3625926051390299,0.02776253432106468,0.14378966729685416,0.5712659749816947,0.4829591720112083,0.3632359710268251,1.0,0.4836438333612127,0.1490166952942644,0.2478121070619483,0.7180046441415168,-0.14163469050218144,0.32271370489823853,0.5687213971047304,0.25453106351232896,0.29205020285534566
nnatürlich,-0.02502255191644799,0.2550850103073502,0.055449046493697696,-0.021566815256237618,-0.4138242365574089,-0.11818270198968926,0.08916086674961253,0.2196782243678958,0.39988851424558364,0.3810824559734567,0.15885710121394953,0.4836438333612127,1.0,0.32196710588389,0.4104506243598424,0.5651915609687261,-0.2555889470554188,0.45731115775163345,0.6506312590202199,0.4368693926818073,0.5031801655396759
eapon,-0.02605118670333249,0.2024675232806006,0.17720440374913227,0.07103260551208884,-0.08921995315486927,0.23042627930589288,0.08867857691329169,0.13664200900065815,0.008925438297754953,0.2192600907417371,-0.1794554960907126,0.1490166952942644,0.32196710588389,1.0,0.14478330222828498,0.05617628002178211,-0.09544659251148842,0.03217299813540708,0.22079054874250956,0.14255495962952494,-0.04988569838161079
raditional,-0.02712714597203443,0.49467870220905863,0.4826644574910271,0.39188959284301783,-0.1321550338206259,0.163534535534006,0.6306070356218446,0.4551514878678826,0.5540597033471466,0.43790025439690666,0.4761970373293622,0.2478121070619483,0.4104506243598424,0.14478330222828498,1.0,0.3997894807030199,-0.22663548219784843,0.3747980375605523,0.23248818560731965,0.4566980571462204,0.310913790787229
echnical,-0.0281313843765932,0.2946740500159709,0.07130913461962847,-0.09217096842950216,-0.411848165121952,-0.38428408254071167,0.12090470492125072,0.10379189680752206,0.5695540591876179,0.4048584689393163,0.4705188091499027,0.7180046441415168,0.5651915609687261,0.05617628002178211,0.3997894807030199,1.0,-0.21555812472587196,0.3901295577191949,0.6342897597020821,0.17852999387241547,0.43420970361761557
argain,-0.03174239489695856,-0.125863970480899,-0.09293051860699925,-0.143173636638395,-0.24836354469683547,-0.16610903813133063,-0.13155272745531654,-0.2294680412526584,-0.20665661584316064,-0.17445896675841688,-0.1697658319060605,-0.14163469050218144,-0.2555889470554188,-0.09544659251148842,-0.22663548219784843,-0.21555812472587196,1.0,-0.09935940854882659,-0.12028680949899907,-0.2749583833777264,-0.11072750615228205
aluable,-0.03518959166575694,0.4697445935537852,0.4741779870400165,0.49249478539739727,-0.3153339373412347,0.2260019854205068,0.452772222907197,0.6170326051451892,0.6256703060881947,0.6338674041585318,0.49902411429397536,0.32271370489823853,0.45731115775163345,0.03217299813540708,0.3747980375605523,0.3901295577191949,-0.09935940854882659,1.0,0.5832672043081277,0.6600712783227718,0.5272845655167482
rotective,-0.036144972402306644,0.3985418350456955,0.1595258540013159,0.044429776545404344,-0.493184251793507,-0.13262061276974937,0.1635011438237694,0.3190848769070481,0.5126248143964607,0.5779321455082017,0.3323570609773917,0.5687213971047304,0.6506312590202199,0.22079054874250956,0.23248818560731965,0.6342897597020821,-0.12028680949899907,0.5832672043081277,1.0,0.39591165863277294,0.5306711484244204
ead,-0.040136996670306055,0.35231523477943977,0.3790302759341709,0.37767324792711443,-0.19552235308557148,0.27896803183405394,0.3645888978472213,0.6289439540211759,0.40203180244243947,0.5495186703582615,0.23261967557598084,0.25453106351232896,0.4368693926818073,0.14255495962952494,0.4566980571462204,0.17852999387241547,-0.2749583833777264,0.6600712783227718,0.39591165863277294,1.0,0.4785159050780781
valuating,-0.04965451322841488,0.10842270493676634,-0.02316933052986599,-0.021869664837402263,-0.35522128562384364,-0.16829764011854115,0.030589259801807243,0.255759467378421,0.34443912542517735,0.3065480713933143,0.26302757337259847,0.29205020285534566,0.5031801655396759,-0.04988569838161079,0.310913790787229,0.43420970361761557,-0.11072750615228205,0.5272845655167482,0.5306711484244204,0.4785159050780781,1.0
