,success,heRuler,raditional,heInnocent,ulture,heCreator,rendy,odern,odern,esign,ind,ad,ustig,collar,names,names,mpractical,collar,argain,names,rust
ind,0.09823935227879173,0.5275161084466539,0.5939375984002235,0.8822361572184017,0.5105902837861693,0.7202222877193171,0.6089819977322307,0.6931322589259548,0.6931322589259548,0.6112073536445145,1.0,0.6879932863344204,0.5579953944224403,0.373174821358324,-0.23736726129080046,-0.20838817223370712,0.5894156337423814,0.16381714748437545,-0.2558870829415688,-0.0567919488542391,-0.6987839540771482
ad,-0.0021336377045957384,0.386661649298841,0.32934190754720705,0.724702076311999,0.16951698027245676,0.48710492707226705,0.3597462892910004,0.4065835379092322,0.4065835379092322,0.3079747757522998,0.6879932863344204,1.0,0.5201669546249277,0.3309829263792871,-0.01818269529421566,-0.04498134151600872,0.7406636572726418,0.18424243455482262,-0.25723558607397184,-0.010936479410222242,-0.5948429119086296
ustig,-0.0023628105114845074,0.11916670893311836,0.4351729663254977,0.6063120086834182,0.44765682829105563,0.5038816923658662,0.540161907199939,0.3415552599536956,0.3415552599536956,0.28752694864378386,0.5579953944224403,0.5201669546249277,1.0,0.24831026604889153,0.08212651192947594,0.13466049538802732,0.5836171110317874,-0.02906246836166007,-0.19517338071092247,0.2701917755533852,-0.4795274149987202
collar,-0.006431653148443367,0.5546042789426894,0.04940464723351156,0.40771098182438165,0.383646801256475,0.4741831460640376,0.13014449821254281,0.2836213544555975,0.2836213544555975,0.09856540504166192,0.373174821358324,0.3309829263792871,0.24831026604889153,1.0,-0.11311515080366166,0.1351956064666105,0.43322437759403665,0.3787997633449785,-0.3486805147244629,0.33165645167930263,-0.37975936678109795
names,-0.013259243022704457,-0.14715741985859826,0.032667322581599205,-0.12191452197013385,-6.34611580877985e-05,-0.014047216389940996,0.0034453686595707694,-0.2816392388903337,-0.2816392388903337,-0.17171932191658734,-0.23736726129080046,-0.01818269529421566,0.08212651192947594,-0.11311515080366166,1.0,0.780021478297358,-0.15875769590157116,-0.1714386351269082,-0.16612061591810817,0.33958465208296257,0.35421105526617697
names,-0.013573055307117771,-0.02914261297508612,-0.06939360377593352,-0.08199926081224557,0.15774552263692967,0.05888755229446835,-0.005406190235047683,-0.2063543573533644,-0.2063543573533644,-0.24022238806467594,-0.20838817223370712,-0.04498134151600872,0.13466049538802732,0.1351956064666105,0.780021478297358,1.0,-0.14308360100418127,-0.0897522042169755,-0.28492776547321175,0.6076809105569165,0.28811943499655407
mpractical,-0.015269395262955133,0.5041085086744492,0.32722113174647083,0.6327461986051074,0.20200681897354916,0.5251191648631135,0.30579775467767234,0.522055218616579,0.522055218616579,0.2110114315698507,0.5894156337423814,0.7406636572726418,0.5836171110317874,0.43322437759403665,-0.15875769590157116,-0.14308360100418127,1.0,0.1524999471993232,-0.2840981732428815,-0.0835853546715899,-0.5094624711234603
collar,-0.017335383656427197,0.1712905547502975,-0.05923723668312799,0.07623908261218604,-0.12147367595773263,0.04884203576194193,-0.14690781562769367,0.004116189904407727,0.004116189904407727,0.03835389065805503,0.16381714748437545,0.18424243455482262,-0.02906246836166007,0.3787997633449785,-0.1714386351269082,-0.0897522042169755,0.1524999471993232,1.0,-0.27314841247768806,0.05995212288094063,-0.25445077205013744
argain,-0.019147798586575768,-0.31366737307151893,-0.23208575993122557,-0.27296730527391594,-0.1937695480115359,-0.35622918498275263,-0.002999200219581473,-0.13162850116276356,-0.13162850116276356,-0.1740750380397127,-0.2558870829415688,-0.25723558607397184,-0.19517338071092247,-0.3486805147244629,-0.16612061591810817,-0.28492776547321175,-0.2840981732428815,-0.27314841247768806,1.0,-0.2762039734765252,0.08537298544257263
names,-0.02447110075938581,-0.10799840321850786,-0.1522069568034096,-0.022321938761355093,0.2584209240497969,0.007090119748317901,-0.06818788679159918,-0.1756029915294724,-0.1756029915294724,-0.274807531839464,-0.0567919488542391,-0.010936479410222242,0.2701917755533852,0.33165645167930263,0.33958465208296257,0.6076809105569165,-0.0835853546715899,0.05995212288094063,-0.2762039734765252,1.0,-0.052797320219330666
rust,-0.05234856396201593,-0.3343165190789669,-0.35236510121439757,-0.68411932687253,-0.41320268974629604,-0.4816842172893689,-0.3890583492759203,-0.5126062219825751,-0.5126062219825751,-0.3523398235152035,-0.6987839540771482,-0.5948429119086296,-0.4795274149987202,-0.37975936678109795,0.35421105526617697,0.28811943499655407,-0.5094624711234603,-0.25445077205013744,0.08537298544257263,-0.052797320219330666,1.0
